,Mama's Buoi
1429,I checked into this cafe with 5 other friends of mine..We were there to celebrate my friend's birthday party but ended up with all messed up mood because of the unprofessional behaviour shown by the cafe staff.. despite of asking for a table for 6 and making up a heavy bill we were asked to leave the table as soon as we finished up our meals saying That the table was reserved..And that was insulting.. Something not expected .. Though the food was fine but everything went in vain after this attitude was shown..I think I'll never visit this cafe again..
1430,"It was my birthday and i went to this restaurant with friends. We were 6 people and checked in at 3 pm we had a good time and we also paid a huge bill to the restaurant despite of all that they asked us to leave at 4 because the seat they provided us was already booked by someone else. This behaviour was very unprofessional, if the seat was pre booked they shouldn't have give it to us. The food was good but I'm never visiting again"
1431,Expected so much from here but it's extremely horrible. The food (cheese sticks) and shakes were disgusting. Never visit this place! Just a waste of money and time.
1432,"Took some time to locate the place , as it is located on the third floor but it was worth the effort !Ambience is cozy and a bit loud. Menu is vast with a huge variety of Non-Veg food items.Ordered chicken lolypop which was mouth watering !Murg Malai pao was decent , Veg Munchurian was too good again !Overall nice place with good quality food !"
1433,"Situated on the 3rd floor, this place is full of life.. and food! You start hearing the music on 1st floor itself. My friend and I chose to have late lunch on saturday. On reaching this looked like the most happening place there ! The waiting time was about 30-40 min. They have enough space inside for waiting so theres no worry of waiting in the heat outside !On settling, we started our meal with a veg platter. It was a big one with a variety of things in it, including various types of paneer and chaap, dahi ke kebab and seekh kebab. I was really impressed with the quantity. I personally loved paneer and dahi ke kebab amongst those.One thing that anybody visiting this outlet should try...read more"
1434,"This place has been like a 2nd home to me. Great food, cheap drinks and damn good staff.Though have been a pain in the ass for the people there asking for whisky at no-alcohol days..People would want to try the pizza's and the crispy stuffed mushrooms. Steaks are must. Hats off to Sahil and Gaurav for running this place so efficiently. I don't give rivews though but this place desrves it."
1435,"Another gem in the Hudson Lane.Been their with 2 of my friends, food and beverages was good, ambience us quite cool, service was fastand staff was courteous and polite.It is one of the best place in Hudson Lane to have good sheesha.Things I have tried :Buffalina pizzaMelting momentsDesi mocktailVirgin MojitoRed velvet shakeNutella shakeEverything tastes great.Sizzling brownieMY ratings :Food :2.5/5Beverages :2.5/5Service :3/5Value for money :2/5Staff:4/5Will definitely gonna revisit it soon "
1436,"Super amazing food, good ambience and good music.. All what can be little modified is the service.. will definitely visit again! Wonderful conceptualisation!  "
1437,"Mouth watering food ,Fabulous ambience, nice crowd and lastly  the hookah .... Never had such an amazing hookah before in any lounge .. didn't get an opportunity to call the waiter for the coal 😃... Will definitely go here again"
1438,"Mama's buoi was in my bucket list since long but yesterday I finally visit this happening place. It is a large restro & also have a terrace which is ideal in this amazing rainy season. The food is great over here but if you're only going for trying food, this place might not stand upto your expectations. But this place is perfect for people who loves music, the songs playlist is really good. Staff is courteous & happy to help. Overall, O enjoyed my visit here. Will come again with friends !"
1439,Where: Mama's Boui Ambiance: cozy but loud.Cleanliness: Apparently clean Seating Capacity:Can accommodate upto 80 people.  Menu: Pocket friendly multi cuisine dishes.Definitely Order: 1. Dal makhani2. jalapeño cheese toast3. Any PizzaDo not Order! :1.salted Caramel shake2. Brownie Drink it up: Berry ShakeSomething for the sweet tooth: nothing Service:Slow Wait staff: Prompt My order took: around 15-20 minutes to arrive.  Cost For 2: Rs. 800 excluding taxes.  Suggestions: none as such. Go for: North Indian delicacies Overall Rating: 4.5 on 5
1440,I have been here several times as this place is near to my home !! first the bad part the main disappointment i had with this place is that  every time the management request to change the table as more people come here so if you are sitting on a big table they will definitely say you to shift no matter if you having your food at that moment or not !! just to crab more customers they disrespect the other customer as 1 or 2 times it's fine for a good human sake yes we can shift no problem in that it's finebut seriously every time they do the same and the worst thing isthey will say Sir promise in 5 minutes you will get the table as the other table is about to free they are just...read more
1441,"This area has a number of good restaurants but most of those are small ones where food is good but they lack in interiors, space and ambience. Mama's Buoi is the exception here. This is a big restro spread iver three floors including a beautiful terrace. The interiors are also quirky and impressive. Also the music system of this place is real good and their playlist is also praiseworthy.Coming to food, they have a simple menu with lots of varieties. I've been here twice and always loved the taste of whatever i ordered. Portion size is also good and looking at the pocket friendly prices, this place becomes a must visit place.Following dishes i would recommend:▪Signature...read more"
1442,Very confused staff and total mismanagement. It took 1 hour to find a seat and despite being over staffed the place and people are totally confused..poor management 
1443,"If you are in GTB Nagar then probably a visit to Mama's Buoi will be a good decision.Its at the end of the hudson lane easily spotable. Ambiance is done up very well but the music they play is a bit loud.I was with my cousions and we dined in here. We order Butter Chicken Pizza Bun (something really unique and really tasty), Mozzarell sticks which were ok as I would have loved to have a bit more of cheese in it. Crispy Honey Chicken which was good. Chicken Lasagna which again was prepared well and latstly we ordered tandoori platter which was disappointing. As per me the North Indian is not that good but the rest of the items are really well prepared."
1444,"The fooooood is delicious. I went there in winters so it was easy then to sit on terrace but nowadays nobody can sit on the rooftop due to heat but the rooftop is pretty cool and spacious, especially in night it look soo amazing. The indoor seating is pretty fine. I loved the food here and would want to visit again.Undoubtedly the food here is better than the overhyped QD's and ricos. Highly recommended in GTB Nagar."
1445,"Located near to my dwelling place, Hudson lane has always been a dear spot for me and as and when a new cafe pops up, I am in. Mama's buoi was a planned visit and ended up with an below average experience. went there with 6 of my friends , the food is really nice and menu consists of array of things from shakes to yummy food ! the bad part was service, we were so disapoointed that we asked the waiter to call the manager , to which he didn't respond. the experience could have been better if service was good."
1446,Had heard a lot about this place.... went there twice only to return disappointed both the times... service was below average probably due to the rush hours... the serving men had no clue about the dishes stated on the menu... poor food quality and taste... won't recommend the place to anyone 
1447,"It is definitely one of the most happening places in Hudson Lane. The ambience is chill with good seating. I would anytime prefer their open seating as its pretty cool upstairs. I loved the butter chicken pizza bun, it was huge & full of mozzarella cheese and butter chicken. Drums of heaven were nicely tossed in schezwan sauce. The fried mozzarella sticks were okayish. I expected more molten cheese in it and they tasted a little bland too. I found the sheeshas to be very reasonable for the quality they are providing. Their fruit sangria is a speciality, very refreshing and fruity in taste. The chocolate and nut shake looked so pretty and thick that it took me really long to finish it off...read more"
1448,"Disappointed. That's a one word summation of Mamas Buoi. Mama's buoi is located at the end of the hudson lane,  easy to find. There are two levels on 3rd floor, one sort of open roof. On the second floor, the seats are decided by waiters, we were refused empty tables, saying that they were reserved. Funny when half tables are empty. Anyways we took a table at 1st floor. First thing which hits you is extremly loud music. In fact  I had to get the music turned down, it was so deafening. Restaurant deco is the mismatch style with exposed pipings, hammers for door knobs, contraptions made out of steel pipes. Really done to death now.For food we ordered crispy honey chicken for starters, pan...read more"
1449,"I went to mama's buoi on a Monday and the place was almsot empty. I was not at all satisfied with the service . The waiters were having their own conversation while we were calling them , the service was not promt, The food was average and way too authentic for my taste. The only good thing about the cafe was that seats were appropriately spaced. All in all , I had a below average experience at this place."
1450,"Food 4/5Ambience4/5Service4/5Specially recommend cheesesticks and Sangria🍻 Cheap ,vibrant place for students ,a much affordable as compare to others😍vl definitly visit soon agn❤️"
1451,"New outlets may come and go in Vijay Nagar, but Mama's Buoi is here to stay!For the amazing ambience, for great music, for the perfect terrace seating and great service.The food also will not disappoint but stick to the recommendations.I ordered Fish fingers, Murgh malai tikka, Chicken coriander dim sums and Keema pao to begin my evening with. The fish fingers were oily and I couldn't taste the fish in there because of that. The murgh malai tikka needed some more cream too.The chicken coirander dim sums were wasily the best among the starters ordered. I wouldn't mind having the whole portion to myself.The keema pao was presented really welll but they would have tasted a whole lot...read more"
1452,Mama's buoi is a perfect place to celebrate your big events since the place is really spacious. Been to this cafe twice or thrice by now and had mixed experiences. During my first visit I abslolutely loved the food and service which didn't turn out to be the case later. Service was reallyyy slow the next time I visited also food quality didn't match my expectations. I personally love their fruit sangria (Mama's sangria) and would recommend everyone to try it. Overall quite a good place to hang out with friends. :)
1453,"After hearing alot I visited this place in North campus.We ordered ""X on the beach sheesha"" I've tried many flavours but this one was very bad. So till the time hukka came we decided our food order and end up ordering ""mezze platter with pita bread"" and chili pizza. Both were great in taste. We also ordered sangria and ginger lemon ice tea. Sangria was nice.Ambiance is good. The seating arrangement on terrace and down both are really good.Service was slow. Price wise it's ok. "
1454,"Loved the food. Absolutely delicious. We ordered mama's buoi signature non veg pizza, punjabi something pizza along with mazze platter, thai curry and rice, hakka noodles and non veg nachos - every thing was just finger lickingThe service was quick (even though place was house full) and friendly. Live music was okish, it took a while to sync in."
1455,"Located in the GTB nagar , finally tried this grooving place known for its awesome food and drinks. We ordered for virgin Sangria , chocolate brownie shake , coriander Momos , veggie pizza , and Alfredo pasta. Everything was superb. I loved this place. Coming back soon."
1456,Had heard a lot about this place and found good ratings on Zomato as well but I found this place pretty average. Nothing great. Maybe because no live performance was going on when I visited. Food and ambience both were average. Prices are on a higher end as compared to other restaurants in the area. 
1457,"Mama buoi is one of the most happening cafe in bustling GTB nagar.It is located on first floor with terrace sitting space on 4 th floor.Their foot tapping music & young & vibrant crowd amazed us.We ordered melon coolers in mocktails & it tasted ultra good with slushy watermelon juice topped with melon slice.French fries were crispy & served with ChipotleIn starters ordered vegetarian platter which had achari Paneer Tikka , tiranga chaap , dahi kebab , mushroom goti & veggie seekh .All the dishes tasted super good.Coming to main course chilli garlic noodles with spicy paneer gravy is a decent choice.In desserts u must have their death by chocolate which consists of three...read more"
1458,"A perfect place for food,Drinks and Hookah .Yes I'm a Mama,s Buoi 😍 I loved both indoor area and the terrace.Cool breezy fan with a hookah just perfect.I would suggest to try their mocktails ..a good blend of flavours.Unique name of it make you order more than 1 for sure.Hookah was quite good and well prepared.You cannot miss on food 🥘. 👌 Melting Moments was delicious 😍 Pan fried noodles 🍝 were delectable.It was an wonderful experience being there.We were 4 friends and had a great time.It was weekend so they were also having special music band 😍 .Interesting interiors,quotes were superb.Such a gem 💎 in the area."
1459,"Update : with the growth in the popularity sadly the service has become pretty bad and the staff is not friendly anymore infact they were rather rude. Due to which I cancelled the order and just left. Big disappointment                        Located in the famous Hudson Lane, is a great place to hang out with friends. The place is very spacious and I loved the roof, also the walls are made up of beer bottles in the staircase which is a creative and beautiful idea.A good place to have a party as the music was good but loud, a little too loud actually. The staff was great and helpful.Things that I ordered are:1)Fish 'n' chips- fish was nicely cooked, fresh and crispy and the dips...read more"
1460,Key Points from my amazing experience :- (Head to my blog for pictures & a more detailed write up)1) Shisha starting at INR 5002) Outdoor seating on the top floor & live sufi music on Wednesdays & Weekends make it perfect for that chill scene3) Cordial staff insures timely service4) You will love the Food here5) Best place I've been to on Hudson Lane
1461,"Mama's buoi is a famous name in the north campus area, you can always find someone or the other putting up stories and pictures of the place, as it is beautiful, they serve great food, nice portions and is a huge place spread in 2 floors. Sometimes they also have a waiting line, I went there during weekdays and during the DU holidays but still the place was 90% full, the parking can be an issue, but if you are a patient one you will get a spot.Coming to the food, we had;Mozzarella cheese sticks with dips - The cheese sticks were prepared well, full of gooey cheese and amazing taste, the dips were great too, they were going great with the richness of cheese.Lamb slices with veggies -...read more"
1462,"An youth oriented eatery lane has one more artifact! Mama's Buoy at GTB nagar has some fine ambiance and astonishing food.Hudson Lane commonly preferred for less budgeted patrons and mostly college goers and youth exploring the Cafes. This outlet, certainly provides quite a good food at less amount. They have attained an aura everyone is profound of. And with ambiance comes with bashing music which completely endures to be a party spot. Moving to food, we had ordered Nimbu Masala French Fries. Amazingly presented crispy fries with salsa dip is joyous to eat. The tangy nimbu add on to the french fries is really appreciating. *HIGHLY RECOMMENDED*Cornitos (Nachos). With loads of...read more"
1463,"I came to the muma' buoi yesterday wd my 2 girls , it was awsm really apprivciate ambiance just simply waooo nd food is qlso awsm peopl must come"
1464,"I usually don't go to any place with a pre-conceived notion, but with the hype around this place caught my attention. But, the place doesn't live up to the hype. Food misses the mark completely, overdone pasta, cheap cardboardish pizza with canned sauce on it, out of the bag nachos with disgusting toppings on them.Hookah was unpleasant and the server asked me, he wont change the coal after 3 times. Ambience is ok, rooftop is better. Cheap and Cheerful place, go there to chill with friends don't expect anything out of the food or drinks."
1465,"Mama's buioIts located in gtb nagar ,Hudson lane, easy to locate. Good and Comfortable sitting arrangement but i didn't found decor dat much attractive as there was no particular theme so little attention should be given to that because decor is 1st thing you notice when you enter in a cafe. When it comes to food dat was quite impressive as it tastes good and even mocktails i have ordered were yummy and served chilled too. Items i have ordered were Melting moments Masroom kr galawatVeg Manchurian Pan fried noodlesDessert Death by chocolate ice cream rollsDeath by chocolate was not dat much chocolatly as it should be and many desserts which was in the menu were not available so...read more"
1466,This dish is my all time favourite at this place!😍DON'T MISS OUT ON MUTTON GALAWAT😎#SpicyandJuicy:)The ambience is nice and the top most seating area is the best here. 🙂
1467,"⁠⁠⁠Mama's Buoi is such a place where you'll get a proper party feel. Loud music at this place won't even let you talk properly. I'd be so happy if they lower down the volume in future. Apart from their loud music, their ambiance and food was really nice. Talking about the food -Started with some mocktail and tried their Mix Fruit Virgin Sangria. Well I don't remember the actual name but it was nice and refreshing. I also tried their Passion Fruit and Peach based mocktail and a proper fusion of both the flavors can be easily noticed in every sip you take in. Now talking about their food -Cornitos (Nachos) : Nicely done cornitos topped with cheese and baked beans. I really...read more"
1468,"The outlet is the perfect place to chill out with your friends. Staff was very cooperative and time taken for a dish was also reasonable. They have that burger triplet which includes a normal size burger with two small burgers on top, this burger was something new and had a different taste too , I recommend this burger for visitors. Veg platter include almost every snack you can try there and it was worth having. Masaala Chicken tikka pizza had that small chicken chunks. Their new range of summer coolers and shakes are just amazing. Must try--chicken Tikka pizza-go green -big burger-chilli potato"
1469,"Muma's Buoi situated in the famous hudson lane, is one exciting cafe. Having a spacious seating arrangement including rooftop seating with live music make one's dining experience fabulous. We started off with some 'Honey chilli potato' and 'Drums of heaven', both the dishes were scrumptious and mouth watering but bit too spicy. Order it with a coolant or delicious shake and you're good to go! Coming to the star dish of our lunch, 'Thin crust chilli chicken pizza'. It was perfectly topped with cheese and chicken and baked to perfect temperature. Though we were full, we couldn't stop ourselves from eating more. For desserts, we went forth with 'Sizzling walnut brownie with icecream'...read more"
1470,Poor service. There are way too many people to serve yet everybody pretends to be busy. Take ages to come and respond to your requests. Food is very average. Go only if there's no other place left to checkout.
1471,"After being recommended by a friend and reading it's reviews on Zomato, Mama's Buoi was on top of my list! Therefore, on my recent outing I decided to have my lunch here.The place is quite big in comparison to the other Hudson Lane cafés and the decor is quite simple with eclectic mix of furniture and old school pop music to go with it.As for the menu, that unfortunately is similar to other local cafés having broad range of soups, sandwiches, pizza etc. The food of course is quite pocket friendly. We ordered the Chicken Satey, Twins (2 mini burgers), Death by Chocolate, Maa da Ladla Sheesha (Brainfeezer and Cigar) and a couple of drinks to go with it.Chicken Satey with peanut...read more"
1472,"Mama's Buoi is one of the most vibrant lounges you find in GTB nagar. The ambience lifts you up to order one more of everything you choose.I would rate the breakfast menu of Mama's among the best I've ever seen with regards to the assortments it offers.Another notable or rather enjoyable quality of the place is the wide range of salads it has.Since, it is located in an area where the Sheesha is light on your pocket, the place would make you flow through time. You would actually enjoy the music of the place with the dishes and the spend a memorable time.Presentation of food items has been carefully decided keeping in sync the atmosphere of the lounge."
1473,"DO NOT TOUCH THE INNOCENT GIRL(in the mocktail section), just don't.  Other than that they serve perfectly crispy spring rolls and the pasta is also decent.The ambience is good compared to the other cafes in GTB but sadly Mama's buoi serve alcohol only on friday, saturday and sunday. mama doesn't allow them to pour beer on weekdays."
1474,Place & Ambience was Good!Didn't get to try a lot of items but their Butter Chicken Pizza was awesome!I ordered Peri Peri Chicken but i think that they must have delivered me Chicken Tikka but that was good too!Their dirty double shake was not so presentable but was tasty!Nachos were not properly baked!Hookah was good!
1475,"I didn't find this place as good as I expected. The ambiance was ok.The music played was not that soothing for a dine in. The waiters were a little unaware of their menu so all these little things did spoil the mood. Now let's come to the food 🍲, I ordered 1.dahi kebab 2. Chilli pizza and a drink to go with it. Dahi kebab has to very soft which was missing andother items were also average in taste. "
1476,"Mama's Buoi is surely one of the most famous cafe at Hudson Lane. It is a beautiful casual dining restaurant. They have a very comfortable seating and have a rooftop seating as well. They provide great quality North Indian, Continental and Italian food. Their staff is well trained and professional. They provide hookah too.Coming to the food, I ordered a Vada Pav. It was exactly like the typical, authentic Mumbai vada pav. I really liked it. They chutney's inside it made it extra special.I also tried their Tiranga Soya Chap. It had an assorted mix of Pudina Chap, Achari Chap & Malai Soya Chaap. Each one of them was a beauty! It's difficult to say which one was best, as all of them were...read more"
1477,😍😍 cuz A little more cheese is never a harm 😍😍Presenting you from the menu card of @mamasbuoidelhi ❤️ Too good too eat pizza named 🔥jungle cheesy pizza 🍕 .The menu is filled up with amazing variety of snacks and shakes that ends up you with lots of confusion about what to order 🙈❤️ but every bit of the menu is damn amazing with lovely ambience and it also have roof sitting facility which is seriously lit ✨👌..Follow-@those_food_wanderers
1478,"What a fabulous place it is!Yesterday was my 4th visit to place in as many months, and boy, each one had been better than the previous one. It's easily the best place in this side of the town and here's why..Awesome live music. Amazing performances. The singers are amazing, and even better is their choice of songs and their rendition. If you're on the upper floor, you really can feel the festivity in the airLovely food. Food is real good. Nice menu with many new innovations. But the star is the taste. I am a personal big fan of their Dimsums and Asian cuisine. Ask chef for some veggies in black bean sauce, and you won't regret!Very friendly service. You always feel at home. The...read more"
1479,"Mama's Boi :Located in the famous Hudson Lane near GTB Nagar Metro StationIt is a really authentic place with nice soft music.I judge a place by it's chicken & I must say the Chilly Chicken was yummmm ""Cheers to that""Staff was very responsive & polite.Sheesha is served at a nominal rate with a lot of variety in flavours .The chocolate Brownies were too good .I would recommend this place to everyone.Cheers !"
1480,This place has real Rush with a lounge feel and the best live music .This is one of the only decent  places in Hudson for hookah . The service is good and the food is good ! Tried the achari chicken masala pizza which is good but not really an Indian style pizza . Like the overall experience.
1481,"My daughter took me to this place a couple of weeks back ..... Amazing place , food was awsm lv the red wine sangrea and the icecream crispy rolls ...... Perft place "
1482,"Mama's Buoi is one of the famous Cafes located at Hudson Lane...It's a beautifully made , perfect Ambience destination with a rooftop lounge. Mama's Buoi is a place where you can spent some quality time, hang around with friends/family and enjoy some great food.For food I would rate them 4.5/5Drinks 5/5Ambience 4.5/5Hospitality 5/5..I was there yesterday with one of mine friend had ordered for the Cripsy honey chilli chicken and fish fingers which was great to go.. The fish fingers had a tangy, lemony flavour which could have been better.The drinks were really great and refreshing . The shake was nice and full of flavours..Then we had ordered the chicken biryani which tastes...read more"
1483,The place is nice! There were not a lot of people present when i went there so the service was quick.! We tried #laughingMelons which was okay. College mojito was good.! #BasilPestoPasta was scrumptious😍  fried mushrooms were not that good. All in all the experience was nice.! 
1484,Food & Drinks : 3.5/5Staff : 4.5/5 (Very Cooperative) Ambience : 4.5/5 for terrace (would suggest everyone to sit on terrace as on the floor music is very loud and sitting is not that much comfortable)Hookah : 10 Stars out of 5 ;) !!! it was one of the best hookah that i have ever smoked..we ordered Brain Freezer mix with Kiwi in Khalil Mamoonn ..flavour was juicy and smoke was really cool and thick ...I will visit this place again and again only for Hookah!!
1485,Mamas buoi is a place beyond expectations. Food is good.. ambience is good specially the terrace area. Have been there 3 times and was never dissatisfied with food or service.Best place to be with friends and family in Hudson lane area.
1486,"In the sea of restaurants and cafes in gtb nagar this place just can't be ignored. Mama's buoi first of all very unique name, is an exciting place. The place is big and has two sections one where you can eat and take your family, frnds or colleagues out for a meal and other section is roof top which is a crazy place and all the fun is happening there,live music, smoking area, the hookahs and drinks. Now let me tell you about my experience.Hookah : commissioner, also the guy who was making hookah was awesome 😁. Taught me how to make hookah.  Shakes here are average but coolers, they are must try. You would certainly fell in love with coolers.In dinner I had Traditional Greek salad...read more"
1487,"Tucked away in a little corner of every students favorite hub , Mama’s Boui is the cherry that was missing on top. Wether we talk in terms of food , presentation , ambience , everything was exceptional.  It is a little distant from the main hustle bustle of that area , tucked away in a corner , but that is one of the reasons as to why this place stands out of the crowd . The entry was a little disappointing and misleading but the food and the ambience made up for it .  We started off by devouring some hot and sour soup and nearly burnt our throats as we gobbled up every last bit of it . The soup had been conscientiously cooked and  served in a nice manner . Next we tried the...read more"
1488,Hudson Lane has never failed to surprise me.  A recent talk of the town is Mumma's Buoi . This place has a nice sitting on the terrace which elates the mood instantly. The ambience is quite chic and modern. This place has a youth vibrancy which I liked the most. Quite reasonable on pockets this place can be visited for sure.The food here had some variants apart from the usual . The scrambled egg with chicken was certainly classic and the texture was great. Dahi ke kebabs was so flavourful ans soft that it melted in mouth. The service was prompt and the staff was very courteous and informed. One of the best in town to hangout with pals.
1489,A duplex building restaurant in a crowded place like GTB Nagar close to North Campus is a delighful place to have fun with friends. Service is awesome with the delicious food. Little bit expensive on the pocket if you are drinking alcohol but you can enjoy the LIVE music out here on the roof as well as the DJ in the middle. Must recommend.
1490,"From exquisite interiors to fingerlicking delicacies, Mama's Buoi surely one of the best places in the town. It has been marked on my to-visit list from more than 6 months and finally I visited them with great excitement.The moment I entered, I was head over heels with their exclusive wooden interiors. From their drinks menu they suggested me to order Mama's Buoi special and double chocolate shake. Their shakes menu is just perfect as per the increasing heat in Delhi. They are soul satisfying and inevitably delicious. You just can't stoo yourself after gulping a sip.Their food menu is impressive. From Indian mains to Italian perfection, everything will attract you. Being a huge mezze...read more"
1491,"Looking forward for a scrumptious weekend? Go to Mama's Buoi!! This place has the best food in town. Starting from Salads (Caesar Salad- Highly recommended) to starters, soups, chinese, Italian, This place has it all!! We would definitely recommend a few dishes which liked a lot which includes Spinach Corn Lasagna, Moti Mushroom tikka (The Best), Melting moments (Cheese sticks), Loaded Cornitos,Veg. Seekh Kebab, Dry Manchurian and Fried Corns! They have also introduced new coolers which are quite unique must be tried by everyone once for sure.The best way to end your meal is to go with Death By Chocolate. Don't forget that its too big for one person! So remember ""Sharing is Caring.""A...read more"
1492,"My new favorite in the famous gtb nagar lane. It is one of the places where you will love almost everything. From interiors to food to cocktails. Multi storeyed cafe with a huge and a lovely terrace. And some dedicated lounges for a private party. Ordered a few drinks and some appraisers and loved them all. Salted caramel shake, lovely lemonade and a melon drink were so refreshing. In the food, my favorite was grilled fish in lemon butter sauce. If you like Lebanese, go for the mezze platter. Pizza lovers can go for chicken tikka pizza. Craving for something creamy? Order the chicken stroganoff. The place won't disappoint you. Go there and have a good time. "
1493,"It was nice experiencing the cuisine of this place. It was an out of the box thought where in gtb nagar you don't get to see restaurants with this good vibe in them it was more like a club in cp with good music.We started out with,1)Chicken tikka pizza2)Dimsum3)Grilled fish4)Mezze Non veg platter5)Chicken stroganoff - it didn't disappoint as it is usually not good at some places i dined atIn drinks we orderd1)salty caramel shake which literally made itme droole just with the look of it2)lovely lemon it was a refreshing drink in this hot weather3) peach& Orange it had an sour and sweet drink at the same time which was really goodThey also have a good terrace too where you'd like...read more"
1494,"Mama's boui in GTB nagar is a place that actually breaks the monotonus eateries of that area and comes up with more like CP clubs in GTB nagar with good ambience good food and nice crowd.....amongst starters we ordered...grilled fish , chicken tikka pizza , dimsums and mezze non veg platter .....all were equally good ....the drinks lovely lemon, peach orange mocktails, salted caramel shake, watermelon drinks and i must say the drinks were good....then we had chicken stroganoff..all in all it was a good experience..."
1495,"This place was recommended to me by a friend and I am glad that I tried this place. The ambiance is great, the food was delicious and the service was great as well. The staff was good with the recommendations and all the dishes recommended by him was good."
1496,"Gtb nagar a name that is fastly growing and becoming the food hub of the area . As the area is surrounded by colleges around , so mostly it is filled with youth and youngster that enjoy each moment to the fullest. The place is mostly filled with crowd at all times of the day and is quite famous also ,so do reserve a seat before going .The place is located on 2nd floor with a sky bar attached to the place that is for all the sheesha and view lovers that enjoy the food and drinks with an open space around . The theme of the place is quite artistic and the ambience is also great. The music in the background is also soothing and you can enjoy it with your food and drinks what else anyone...read more"
1497,"Mama,s buoi is an incredible new expansion to GTB nagar and It has turned out to be one of my top picks , It's hip easygoing vibe peared with it's wonderful well thoroughly considered and shoddy menu suits all reasons , from a brisk mid week supper or takeaway to a relaxed Sunday lunch with companions .Came here for a speedy make up for lost time supper with companions. Cherished the open air seating on a hot night, made for a decent unwinding supper.Crisp, extensive bits and at an exceptionally sensible cost. Menu had an extraordinary scope of choices to suit all tastes and craving levels!In food  we requested:StartersCaesar Salad:fresh Romaine, iceberg salad presented with...read more"
1498,"The menu is long, the prices reasonable  and the food designed for both singles and groups to play cover-the-table with. Chicken lollipops are a good starting point,  fried n fresh. You get the vibes of international dining restaurant , chicken is juicy served with shredded vegetables, and good tangling flovours enrolls in you mouth. As me being non vegetarian, most of dishes i ordered were obviously non vegetarian, each dish have its own flavours which differentiate it from the others.The also serve a great variety of pizza which makes your meal complete.Desserts are mouth watering and makes u order again and again.So i must say this place is suitable for a good meal , food served...read more"
1499,I am going to impart my experience to this place. I had gone to this place yesterday as i had heard some great focuses about the place.I was very energized before going by the place and this place brought my heart with its nourishment and cordiality i requested 1.Nachos-It was served in a decent amount and cream was being spreaded on the highest point of it 2.Kiwi hukka-I have gone to such a variety of bars yet i can state these folks additionally have great assortment of hukka and kiwi now has turned into my most loved hukka enhance 3.Spring move Absolutely wonderfull taste as the filling inside the roll was immaculate and plunges presented with it was making it more top notch...read more
1500,"Mama's Buoi Place is located in famous Hudson lane with 5 minutes walking distance from Gtb nagar Metro. Well one can find place near tea trails. Cafe is situated  on third floor lift n stairs both options are there. As I stepped  into place it looks good with some soft music n it's great ambience. Now coming to the food I tried chicken 65 -  perfect cooked chicken tampered with mustard seed n soft to chew. Bad thing was it was bit salty. Chili pizza - crunchy base pizza stuffed with cheese, chicken n spring onion taste good. Jalapeño toast- well jalapenos toast is like garlic bread stuffed with cheese n finely tapering long peppers I.e jalapeno. Tandoori chicken - mixture of...read more"
1501,Fantabulous place to hang out just one thing to manage guest seating @gaurav food is gud ambience is nice.will surely visit again provided get to sit on the top floor 
1502,The ambience is good here. Food is really awesome. The place is good  to hangout with friends. I went on the last exam  day of the graduation. Had a good time. We had Alfreado Pasta and Honey Chilli Potato. And yeah the Chocolate Shake too. It was good. 
1503,"It's not long ago that my I fell in love with GTB Nagar when I first visited this place. Though, whole area is a bit congested, but it is a paradise for all the food lovers out here. Every time I am here, I see a new restaurant popping up. And that is a good thing because that will mean another new place to try.It was Mama's Buoi this time. Mamas Buoi- Future Ladies Man made me tickle a bit. This is visible written on the wall and also on the back of the T-Shirt worn by each and every server there. Located on the third floor, I spotted this place with the help of sign boards that are displayed outside. The nearest Metro Station to this place is GTB Nagar one and Mama's Buoi is around...read more"
1504,"I was in GTB Nagar with my friend and while deciding for a place to have dinner, we stumbled upon Mamas Buoi. This place has some very good interiors and youth crowd makes it a perfect place to hang out with your friends.I had Cheesy Fries which were loaded with Cheese served with a good dip and White Sauce Pasta which was really good. I didn't expected it to be this good to be honest. Anyone who is going to this place must try their White Sauce Pasta.In Drinks, I tried Oreo Shake which was extra sweet and taste of Whipped Cream was also there. Then there was an Orange Mocktail which was the best part f my whole dinner. I would come back to this place just to drink that Mocktail...read more"
1505,"Mama's buoi is nice,decent place in hudson with very good ambience. N food is nt so good its great place to spent time wid ur frnzz n family. And we already booked a table on terrace which is best thing of this place..Dim light n live singers was so impressive . Service is good but food was just average. Shesha in open terrace gives u a great feel. We ordered chicken malai tikka, munchurian and rice , chilli paneer, honey chilli patato. Serving looks quite good on wooden box but again taste NO. But its little costly .Epicurean's World "
1506,"Good place, awesome ambience, the place is divided in two parts. One for enjoying dinner with frnds or family other is Terrance which is basically for drinks, hookahs and smoke. The waiting staff is helpful and friendly. Recommendations include coolers, lasagna ,chilly chicken, salad, sweet corn and commissioner hookah."
1507,"food was nice.the place is just wow.i really liked the ambiance of this place.services was too good.i would recommmend you to go there once ,you will be loving that place"
1508,its a wonderfull place as i had gone to this place with my friends and i loved their hukka and food was also nice.my recommendation is that they guys also have variety of hukka and you can try
1509,"Wonderful food and good services and the employees are cooperative.Try death by chocolate😘 And honey chilli potato,......................."
1510,"Awesome food, ambience, service . It was a very good experience at other places we have to call waiter again and again but here waiters are very good and ready to help on there own we got served by Mr. Amit rai. Happy and satisfied 😊👌🏻"
