,The Chatter House
1460,"Chatter House was the host for our tournament and it was a pleasure to be here. The place is amazing, Great food and excellent service. Pizza is one of the best I have had in town. Would love to visit again. "
1461,"Ordered ham and chicken pizza ,was cold and the cheese was stale,hard mutton seekh kababs ,ordered bira beer from the tap was pathetic ,it tastes amazing in beer cafe which is next to it.Chicken malai tikka was not badI wont go again"
1462,"A nice english look restaurant... Service is good... Its gives you a total UK feel... Food is nice... Value for money.., definitely like to visit again and again "
1463,"When I was asked to meet for drinks and dinner at this place I was quite skeptical. Simply because my memories of this area where we now have the Epicuria mall in Nehru place was that of many years ago - full of dust, pollution and traffic. But surprised I was to find a lovely mall right below the metro station. Even before I entered the restaurant I took a liking to the place...a nice refreshing collection of interesting eateries. As for the restaurant itself, loved their cocktails (for most part), shrimps were just finger licking and so were their selection of Galauti kebabs and non veg platter. Am certainly visiting this place again....sometime soon."
1464,The first thing that you notice entering is a British royal guard with long hairy cap(God knows what is it called)  that gives you a feeling probably the set up inside is that of British imperial style. However the interiors inside is that if a cafe bar with retro-90s music. But hey the place offers very well laid out seating space to give you your own personal space within the chaos. The finger food is nice. The place doesnot pinch on the picket. Good hangout with friends. 
1465,"Heard a lot about the place and really happening place to be there with family and friends . Superb brick wall ambiance and food and drinks are really superb .. Simply one of the best ... Tried Manhattan , chicken with peri peri and pig in a bucket and waoo so yumm . "
1466,An average pub with the only good thing about it is being cost effective!Happy hours on weekends too till 7 30 pm! Food- 2/5Ambience- 3/5Only visit this place if you are in the vicinity and want a cost effective place to go!Even then I would suggest mybar@gk.. It's awesum!
1467,"Located conveniently at the hottest and most happening epicentre called epicura, this place is difficult to miss! The ambience is a typical brick laden contemporary bar - Cafe. An amazing place to hang out with a huge group on days when an amazing cricket / football mat h is going on, though of course, that would require a prior reservation. The food is good enough, though the menu feels restricted ( no non veg options in ravioli , less options for fish in main dishes). However the jumbo Jucy Lucy chicken burger was absolutely amazing. They have great happy hours offer. The bill was moderate, not to expensive. Would surely love to go there again with more friends :DRe-visit : amazing...read more"
1468,"I will straight away deduct one point for the disappointing service. I mean from the moment we entered we had to ask for everything - glass of water, plates, spoon fork knives, to call someone for order. This was very irritating.Coming to other things. Well frankly ambiance is damn good with some lovely music played. We ordered double Decker chicken burger which was very filling with nice fries and fresh veg salad. We also ordered white sauce chicken penne pasta which was awesome. Licked everyt last bit of it. Yeah I found pasta amount slightly less as compared to the price.Guys pls work on ur service.rest of things are awesome."
1469,"I have been wanting to try this place ever since I saw the food court it is in. The interiors are beautiful and remind you of something very classy and vintage. The bar is very attractive! Straight to the food because I just can't get over it, dishes that I tried:1. Chatter house special french fries- 4/5 (Delicious jalepino cheese topping served with salsa sauce. Yumm!) 2. Onion rings- 4/5 (Crispy, huge, right on point!) 3. Penne arabita with chicken topping- 3.5/5 (It wasn't the best pasta I had had, but I couldn't really find a flaw with it.) 4. Kadhai paneer platter- 3.5/5 (You get a serving of dal makhni, kadhai paneer with your choice of bread from lachaa parantha or roti. The...read more"
1470,"The chatter house restaurant, what to tell about it, went there on our anniversary our table was pre booked by my spouse. Had an amazing time over there the seat was in outer view that looks so filmy. The bar section has so many variety we were served starters that was so mind blowing. We had cocktails and mocktails along with platters. We had a house special molecular cocktails ‘sangria Esfuma’ it was mind blasting. The food was fab whatever we had was so perfect in taste and in presentation, staff was very sweet and professional."
1471,A sports lover delight. I went there specially to watch an important EPL Game between man u and man c and the big screen was showing that game instead of the usual ipl.  There were many manu supporters cheering. The service was prompt. I ordered veg platter and Nicole salad with Virgin mojito and everything was well prepared although they should add more variety the platter. Overall an enjoyable experience. 
1472,It's a descent place to be in..... As per the drinks are nice  but the jugs are filled with a lot of ice.Frankly you have to change the glasses ....A LIIT should look really big or at least Long!The extra 1 rating is for he mouth watering DAL makhni and Kawaab platter..... It's something that you have to have in Delhi it's very very very nice !!!! :)Try to get the seat outside which is definitely more sexy than inside.
1473,"Good music, lively atmosphere and a cooperative staff makes this place enjoyable. And it's always nice to have complementary munchies being served. Multiple seating options is always a plus which makes this one of the most visited places in Epicuria."
1474,"Don't know about the others, but it gives a proper feel of a typical NYC bar. I've been here     thrice and I've always tried different food. One time I tried butter chicken with naan, Lol. Yeah coz I was craving for it. I found it to be pretty delicious. I've chugged on beer the other two times, tried a couple of their starters and it found them to be nice. The classic fish and chips was amazing and their non Veg kebab platter too. Burgers and pizzas were all up to the mark. They've recently become home to the Arsenal Delhi Supports Club and have been hosting match screenings. I was quite impressed and a revisit beckons."
1475,Chatter House Non Veg platter and my watermelon martini made my evening beautiful . The chicken was amazingly cooked and humus wid pita bread was perfect. The martini made me feel refreshed as it was crisp in my way.  Staff is awesum and amazingly friendly loved it
1476,The staff was quite patient n sweet...food was good bt pizza was out of the world.the crust of the pizza was not like d regular one..infact it wasccheesy and very thinAnd mocktails were nice too...
1477,Our first gastronomical experience at epicuria mall and it was worth every morsel :). We checked this place at Zomato and decided to spent a lazy afternoon at this place. The menu caters to almost all cuisines and have platters and combos so that its shareable and is easy on your pocket.the drink menu too is good with awesome seasonal cocktails. We tried their aam panna vodka which was refreshing and their kir royale is yummy!! The non veg platter is nice and the freshly made pita bread adds to the taste. We also had keema pao which was again head on on taste and presentation. For desert the gooey chocolate cake with coffee ice cream is a must try. The outside sitting area is a better...read more
1478,"It is a nice place to hangout.Good food, good music.I just loved jalapeno cheese balls with pesto dip.We liked their veg tandoori platter as well.Service is good."
1479,"Went there the weekend before last, when the Arsenal v Newcastle game was on. First of we were super impressed by the fancy  Nehru place metro station which houses the Imperial mall. The ambience was great with house full of the Gunners faithful. The starters were decent, we ordered the veg and non veg platters, chicken wings, humus and pita bread and fries. They were all ok but not great.Most of us were having beers so cant say much else about the drinks, except that some of the fancy sounding cocktails that my friends wanted to have were not available. For mains I had the beer burger which was pretty good.Price wise it was pretty descent.End of the day Arsenal won so I had a great...read more"
1480,This place seems to be a good place to hang out for few hours if you are totally in freak out moodI find very vibrant environ r inside keeping you engaged with sports channel and DJ music .. Over that their food is quite refreshing and good in taste .. When I left that place I felt myself energetic as compare to the time I entered ...
1481,"An experience at times leave you so impressed that you live it for a lifetime, such was the case with Chatter House . Invited to a Bloggers Meet a few weeks ago I visisted this place with a friend who is a ultimate foodie. This place is situated in the busy Epicuria Center at Nehru Place Metro Station, The wooden enteranbutce itself promises a irish touch of the place, inside the place has a vary formal sitting arrangements, however, its spacious so you dont have to worry about people over hearing your Gossip. They also have an isolated outdoor siiting area, so Romantic couples add this one too in the list. :PThe Bar is good with a variely of drinks and Mocktails, the best part I...read more"
1482,"Disappointed is the word , waited approx 40 min to get in and ordered Lebanese burger that was not at all good , we were in a group of three neither of us took the second bite ! Then got that replaced with a Paneer burger that was just full filling our hunger need but didn't tasted good either ! "
1483,Great menu ensemble.. Good prices.. Interesting drinks.. A perfect place to chill.. Even on weekdays.. So you can understand how comfy this place makes you.. Recommend this over monkey bar which makes you deaf by the pure noise which they call music..
1484,"Visiting this place was an example of how a coincidence can get you to a nice place like this. It was an invite to a foodie meet organized by askme.com team. People from different places were gathered there. They shared their experiences about different pubs, restraunts they visited. Post that meeting, we were served with food and drinks, which was really very good, specially the thin crust pizza (veg and non veg). I did not get time to try any drinks, however I am sure they would have lots to offer. The interiors were nice and gives you a relaxing feeling. Behavior of the staff was good. They asked to serve food or drinks as soon as they saw that there was a requirement for that on your...read more"
1485,"In a nutshell, this is a safe bet. Nice pub, old rock music, really good burgers.Nothing jumped out and screamed to be noticed, but make no mistake.. This is a nice pub... Old wood finish... Nice comfortable booths and a nice outdoor smoking+seating area. "
1486,"We have decided to sit outside as the weather was with us. The outdoor sitting has a huge open oven where they make wood fired pizzas right in front of your eyes, even they make their own burger bun there. Music was very nice and the crowd was decent. Staffs was very nice and polite. They were good in their job. Drink.....On drink 1+1 offer was going on. Tried Jim beam and mojito. Got two Jack Daniels free with their signature burger.Food...Must try their thin crust pizzas. Just awesome.Chatter house non veg platter was really awesome. Chicken wings, chicken nuggets, onion rings and fish fry was really crispy and juicy.Pork sausages wrapped in bacon with brown sauce was heavenly...read more"
1487,"Well, to get a break from the hustle bustle of hkv (though thats my fav place to go) we thought of trying a different place and decided to go Chatter house. The music was good. The quality of food was also not something to complaint about though the quantity was less. We ordered a tandoori n-veg platter and nachos etc. Apart from the quantity everything was good enough to visit the place again. Also, the staff was sweet and welcoming. "
1488,"A great restaurant with wonderful ambience and good food, burgers and stakes are really good and more important is its surely a place which is value for money. The only drawback being the service is really slow"
1489,"Fabulous place,,, nice ambiance...get this place if you want to drink,, best in happy hours,,, 1+1 ... best place in south delhi i guess if you want nice cuisine... best bar ,,, nice ambiance... after happy hours,,, it strikes your pocket ... We ordered 16 pints and 32 came,,,, of magnum,.. awesome,,,  the platter they served was bit expensive but that okay If i get a chiller beer in a very nice place... staff is good and intend to help you out.... just awesome,,,, love this place... but before 7:30 it saves your pocket with a big margin.... Cheers"
1490,"DAY 14 This place actually takes it name truly very seriously and is actually a Chatterhouse. Their outdoor seating is very good and even the salted groundnuts that they serve. However the seating arrangement outside is a little too closely put and can be difficult to have a smooth movement on the weekends. We visited on a busy evening and despite heavy rush the staff was courteous and the dishes were served on time. We ordered the Chatterhouse Vegetarian Platter, the Very Berry Shake which was drinkable, the Choco and Nut Shake which was good and the Apple and Basil Cooler which was a nice mocktail that they served. If you going for an evening with friends and if you truly want to...read more"
1491,"A very nice warm place to be / hang out wid frnds or partner. Outdoor sitting is nyc and relaxing. On a weekday, music is ok everythng is lazy, the service and attendants and the foods comes out slow. BUT, the food is seriously amazingly tasty. Food makes up for the rating. "
1492,"Its a pretty looking colorful Restaurant and was half occupied when we got there . The place has indoor and outdoor seating area. We decided to sit inside as it was cold outside.The indoors resemble the Irish pubs with classic rock n roll being played in the background. On the entrance billiards and foosball tables are placed. The choice of music has somehow always been to my taste, making the experience good every time. We started off with a couple of pints and chicken Piri piri for starter. The chicken was tender and tasted great. The chicken wings were tender and juicy. The burger was huge with a jumbo patty inside it. But somehow failed to make an impressive mark on us.The staff was...read more"
1493,The place has a warm ambience with dim lighting and comfortable seating. The beverage menu is decently priced and has a lot of options to choose from. It was surprising that they had draught beer on their menu but the not-so-surprising part was that it wasn't available. The place serves Italian food which is very suitable to the Indian palate. For starters ordered for nachos with cheese which had a messy presentation but was good to taste. Tortellini in alfredo sauce was delicious. The server(Shivendra) was attentive and had good knowledge of the menu. Overall had a very good dinner experience. Would love to go back again soon! 
1494,"Thanks to reviews and ratings on zomato to push me to chatter house.......interiors more on the lines of ruby tuesdays, feels very welcoming and upbeat. Outdoor seating is peaceful and beautiful, sets the mood right for a nice meal with drinks. We ordered for:Chatter house veg platter - everything on the platter was cooked perfect and the perfect taste and punch. Really nice and highly recommended.Jacket Potatoes - if you are a potato lover, this is a must try. Great taste and flavours.Veg garden fresh pizza - This is the best part...see your pizza being made right next to you in the stone oven......Ask the guy to custom make as per your preferences...served hot right out of the...read more"
1495,"Known for its food and nineties ambience. This place instantly sets your mood and outdoor seating soothes your mind. Checked this place out on a rainy day and loved their outdoor seating . You get all natural green view and rain beautify the place real good. Coming to the food section, i loved their wood-fired oven thin crust pizza (a must try) perfect crust with just amazing cheese and toppings. If you are under 25 you better keep your booze temptations low cos you ain't getting alcohol, and they are strict with the rules. The north indian platter was above average but not wow. All in all this place is a nice hang out spot when with friends.p.s. They have a in-house foosball table. "
1496,"Loved the mocktails here Virgin Mojito - A very refreshing drink, Strawberry & Orange ,But the best was Watermelon Cooler - because of the refreshing color anf taste. Food is amazing from starters to main course. Its a must to visit place. The option of sitting is indoor as well as outdoor which makes it a destination to your mood and weather "
1497,"As soon as you enter the pub is a brick wall which has the logo of Chatter House. I do not know if anyone has observed the logo carefully but there is twig (branch like) coming out from one side which makes the logo look like a chat bubble. The interiors create a magical vintage feeling with posters of old films framed on the brick walls, large screens telecasting sports channel, bar with high stools,  an in-house DJ who plays the latest music, old English clocks hanging on the walls, a vintage phone, brick pillars, wooden floor and ceiling. Beautiful chandeliers provide perfect lighting. On one side of the restaurant is a foos-ball table and on the other side there is an open seating...read more"
1498,"The Chatter House at Epicuria Mall, below Nehru Place Metro Station, New Delhi is a modern British gastropub. The place is covered with wooden floor and ceilings which gives it a rustic vintage look. There is even a Foosball table to complete the experience of a Pub. The place houses some amazing food and drinks. The in-house DJ plays amazing tracks and a screen displays major sports events. A perfect place to enjoy with friends and colleagues. Special mention needs to be given to the staff, who are very friendly and warm.The place has outdoor sitting as well and one can spot the wood oven where Pizza’s are made. We made ourselves comfortable in one of the sofas. The Chatter House...read more"
1499,Pasta in white sauce was delicious.Good service and decent ambience..Just a bit expensive for a light meal.the chandelier looked beautiful 
1500,Pricing is ok... Ambience is also ok but the food really sucks. The vegetarians will hate this place and even carnis will not like it. Drinks options are plenty and also decently priced. Go if you want hangout with friends for drink only evening... Not recommended for dinner.
1501,"Well I am new to this Zomato thingy!! Me and my gf  looked for couple of places over here to dineout and hangout and we landed over here on the The Chatter House Page. We saw very good reviews so we decided to give it a try. 1st  thing 1st you will be amazed by their ambience.. nice wooden crafted decor.  We ordered couple of cocktails they all were fab. Food were delicious.  Music was nice soothing ""soft rock"". Friendly yet polite staff..  Will definitely be  back for second visit."
1502,"Had a date with my loving wife on 14th Feb and I request a staff to arrange somewhere in open but that boy vanished latter I met Veriender he gave me a such a lovely place to spend time with my velentine. But sorry next table was so rawody seems they want everything complimentary. MAKING NONSEN issues because of nothing.But we enjoyed lovely Mojito, chicken wings     and fish fingers suggested by Veriender. But sense of humer was good as because that was the fasted dish to come around.Loved the place and the ambience and open place with wife in a shaded moon light lovely to spend around and with a such a prompt service I request everyone kindly spend some time with Veriender your money...read more"
1503,Nice cafe with interesting menu items. I have been there couple of times. I love their agi lio olio  pasta. Decent music and staff. If you near nehru place and looking for nice secluded time with your friends or family. This is the place to be.
1504,After reading so many good review about food on zomato planned to go their and unfortunately landed their on valentines day with my girlfriend. place was full and the music was rocking even though we have to wait for 20 mins to get the table  but after having the wonderful experience i think it was worth waiting. the food was good and nicely presented even the surprise was when chef rawat came to our table with complimentary dessert as it was valentine day. Mr Ajay the server was very nice and polite and made our day. well done keep up the go work.
1505,"What a waste of space.. We ordered for Ham and chicken pizza, tandoori non veg platter and Bira beer.. The pizza wasn't warm, and the cheese tasted stale.. The beer was tasting bad for some reason. We had the same beer at the adjacent beer cafe and the taste was much better.. The seekh kabab were pretty hard. The only thing that we liked was the Chicken malai tikka.. Wont recommend this place to anyone specially at the cost that it came."
1506,"I visited the lounge with few friends on the eve of 14th Feb the place was totally occupied by  couples but we managed to find a place in a corner next to the door, it took 30 mins for the staff to acknowledge our presence in-spite of  one us personally mentioning it to the manager that we have been waiting since very long even then nobody turned up for another 20 mins so in total we waited for around 50 minutes  and finally decided to move to some other place. It was a complete waste of time, if the staff was unable to handle the guest they shouldn't have entertained so many people at the same time. It was a horrible experience."
1507,"Lovely place..I especially loved the music,I felt as if they are playing my fav playlist.Ambience is good and service is superb!They changed my platter coz when asked I told that I did not like the taste at all."
1508,"Went to this place for late lunch after searching and reading about this place on Zomato. Foremost feedback was very positive. We ordered the tandoori veg platter, wood fired oven pizza and falafel burger - must say that all of these really tasted nice and the quantity is sumptuous too. Service is pretty prompt - though, I went there during the lunch hour when it's not that crowded. In short, I'll definitely recommend this place. "
1509,Recently visited the place & was impressed with the overall ambience. A great place to hangout with friends!Great Interiors and a very amiable ambience! The food was exceptional; it gave a homely touch to its flavor and moreover the menu has lot of options to choose from! Looking forward to visit again on Valentine Day!
1510,"This is one place which im gonna remember for having “kuch nahi”.The entire Nehru place metro station is an orgy of restaurants – food joints and bars trying hard to grab as much attention as one can get. Chatter house was one place which immediately grabbed attention since they played “my kinda music” – retro, groovy and funky (not very commonly heard around the capital city). The decor was well done up like a British pub, with a pool table on the side.The menu had an interesting mix of Indian and international fare. Settled for the BBQ chicken wings and the recommended Chatter house special Bacon wrapped Mac & Cheese bites. Both turned out to be really quite good. The...read more"
1511,"Chatter House, by the name of it, gives the vibe of a cafe. But instead it is more like a Pub, and made in the quintessential Anglican style. Dark tables and chairs, booths, plenty of space. The menu is nicely styled, and even though the beer list is an exaggeration, you can get your brew. We settled for Erdingers and some munchies- Crispy Shrimp Basket and Chicken Nuggets. Since this was an evening catch-up, didn't venture further. Points to note: Happy hour here is 2+1, and till 7-30 pm. There are plenty of screens about too, so will be good for the upcoming sports season (Cricket WC, Champions league etc). "
1512,"Chatter house...nice place for a chatterbox like me...place to go n chillout with friends...  Tried there cajune pizza...it was too good. Also, the goan prawn curry and fish. I liked the place and surely will visit again. "
1513,"Saturday night  at The Chatter House with my friends. We celebrated my best friend birthday party. A complete blissful moment for all of us. One of my friend recommended this place  so  thought I should give it a try. Visited there with very high expectation and was pretty nervous too as  I wanted to make my best friend birthday party memorable. And it completely lived up to my expectation, actually ""above expectation"".. I really liked the ambience, nice wooden interior. They also have outside sitting area which is I think an ideal place for smokers like me.   Food Menu is pretty interesting, pizza are worth to order. But what I like the most is their Liquor Menu, It has a nice beer...read more"
1514,"Last sunday i was there with my Friends. They want to be celebrate my b.day nd it is very good place for me b.day party.music is very good make me happy my feet shaking automatically and atmosphere is awesome  we ordered some cocktails sangria, margarita were  good.Food:- we start from kabab platter was awesome nachoes with chicken a new taste for me. Then we go for main course. We ordered chicken stronganoff  was  amazing, dum aloo kashmiri and keema pao out of mind mean too delicious. Service was just ok. Music collection played by dj was suuuuper.Get back soon"
1515,An ideal place for a hangout with few people. But the service is very poor and slow. Food quality is just okay. The quantity of food served is less according to the price.
1516,"Who went: Two peopleOrder: Peri Peri Chicken with Sun Dried Tomato pesto, Ham and Sausage Pizza and Lemon Cheesecake with Seasonal Fruit SaladExperience: We went here mainly because we needed to eat a quick lunch and get to an event nearby. We placed our order, however, the pizza came before the starters, which was really weird. Anyway, the pizza was below average. The crust and tomato sauce were really nicely done and they didn't scrimp on the cheese either, but the sausage and ham were so tasteless that it ruined the whole pizza for us. The meat wasn't even fried or flavoured, just cut up and put on the pizza.  The Chicken was good - stuffed with olives, chillies and jalapenos, it...read more"
1517,"So, finally I had a chance to visit this amazing place. A fantastic venue for a special occasion I.e. my bday. Extatic with their music, service, courtesy & the most imp. Thing required to make your visit memorable besides the people who accompany you is AMBIENCE. I rate this place 4.5/5 coz I believe their is always room for perfection. Go, visit this place guys!!"
1518,"A pub which feels like one.. a good bar area and ambiance.. Similar to an English pub. Serves variety of Alcohol, the service though can be improved. Tried the grilled Mediterranean vegetables which was not well cooked. The classic burger and chips was good..Good platters and kebabs. The chicken burger though is a treat.The playlist is repetitive.. but features a few good song.As the name suggest, it is one place where you can chat for hours (the music isn't too loud) and enjoy good food  (Do not order vegetables)."
1519,"A great place to chill, relax and have a chat with friends and family. Food is reasonably priced and pretty delicious. Beer buckets are available for beer drinkers, I loved how they used old jars to serve drinks. Very creative. A good place to hang out! Try the cheese and broccoli medallions! Service also commendable. The staff is friendly and helpful."
1520,"At first I was awed by this place, but came to terms with the fact that it is regular food, but decent food nonetheless. Maybe it was just the interiors of the restaurant that made me seem that their food had to be special but after a couple of visits, the charm wore off. I would repeat that the food is decent."
1521,"Stepped in on a Sunday evening to discover copy book pub interiors and predictable play lists. And, then, I ordered, and I had to write this review. This is a gastro bar that truly lives up to its name. The keema paao was by far the best I have had. I was also pleasantly surprised by the way they presented the food. The mutton rogan josh was also pretty good. And, I was told by a reliable birdie that the pizza is also worth a shot. Well, what do you know, Nehru Place is turning out to be quite a place to be!"
1522,Real bad food. Bland and nothing special. A bad idea to go in the day time specially. Had pasta and ravioli. Falafel burger was a little better than the rest of the food ordered. 
1523,"Chatter House is a gem hidden away in the mall/food court at Nehru Place. I have been living nearby for over a year now and have found myself gravitated towards this place almost every time I go out with friends and have some money to spare. :pI've been to Chatter House thrice with different people every time. And every single time, I have won accolades for my choice of restaurant, so I can safely assume everyone who comes here loves this place.The place has nice wooden-themed interiors, just the way I like it, and the service is quick. The outdoor seating is great, with a woodfired oven directly in view and a Lion-mouthed fountain in the wall spouting water (like that famous lion...read more"
1524,I like this place. Also becoz of the epic memories I have had with friends here. The ambience is done in green and brown mostly with dim lighting. I have always visited this place at night n u vil never find this place dead on any day of the week. Have tried french fries and nachos for starters. French fries were perfect. But the nachos could have been better. Nachos had a sweet taste duno why. My friends tried butter garlic prawns n they loved it. Pizza was delicious n thin crust and perfectly cooked with d right amount of cheese. Loved it. Now lets come to the bar menu. Had thr LIT and white wine sangria. Sangria was good. But d LIT pitcher dint even fill up 3 glasses. Acc to me a...read more
1525,"Chatter House is the answer to my quest in unraveling a watering hole in the vicinity. Late bloomer indeed, however, I've been consistently getting hammered here for over a month now. Their watermelon margarita is my favourite thing to drink if I don't have a running nose.  If the latter is the case, they do make mean Winter Toddy. Someone needs to acknowledge their effort in covering the comfy bar shaped hole in my heart. I've mostly gotten pizza to accompany my drinks. However, avoid the vegetarian pizzette platter. If you're a vegetarian, skip the pizza altogether, perhaps. I'm guessing you must have tried better. Occasionally, I've tried the burger (Lucy something)- decent. Mac...read more"
1526,"You get exactly what you expect when you enter the place, namely, good food In a relaxed comfortable setting representative of a classic pub kind of a place. The pricing is also very reasonable especially compared to the size of the meals which they give and the waiting staff is also very well informed and polite. All in all a definite go again place if looking for a relaxed outing  without burning a hole in your pocket and in the process having a good time of it. "
1527,"Bumping up the rating to a complete 5. Love being at this place. The staff and the management members here are polite and very hospitable. Kudos to the team. Will visit this place again soon.*******************************************************************************************************************************************************Seldom you find an almost perfect joint in Delhi these days. Everything is great about this place. We went there on a lazy Sunday afternoon for drinks and lunch and chose the outdoor seating. While inside it is modeled like an old English bar, outside area was quiet with some nice music playing in the background; an ideal ambiance for a weekend...read more"
1528,"Chatter House has a convenient location, situated in Epicuria right across Satyam Cineplex. The interiors have the charm of an old English pub and this is where the place wins some points. The food however is a let down. We got the Margarita pizza which arrived in 5 minutes, so I can only be led to believe that these are stored in the frozen section and heated up and served. The flavor was disappointing as well. My friend had the juicy lucy chicken burger which he claimed was just alright. Nothing he would come back for. The service is prompt and the place is clean."
1529,I finally got a chance to visit this place. Easily accessible place as it is right near the metro station. The ambiance of this place says everything about this place. They have two sittings one indoor and another outdoor. Both of them are  quite.They serve you the best burgers :D We ordered 3 burgers all non vegetarian and best one was the naughty lucy burger :D.. People who love cheese would definitely like this burger.
1530,"A nice cosy space with a vibrant ambiance and great music. I tried their herb spiced pizza with a whole wheat base. The pizza was good but I think the taste of the herbs made it a little less salty. The place is lively, the credit goes to the right music played by the DJ there. I had a fulfilling evening and would visit there again."
1531,"So finally got a chance to visit the chatter house over the weekend.The moment I entered the place, I started liking it. It was Saturday so the place was packed and we had to wait for few minutes to get the seat. The food was good, service was swift, staff was courteous, decor was nice and in house dj played some rocking songs to set the mood right. Chatter house lives up to the expectation and its really one of those places that justifies the high zomato ratings. Its a must visit place and I am gonna visit again for sure."
1532,"Went to chatter house for lunch.  The stsff was friendly,  service was quick and food was very good. We ordered spanish croquettes,  kheema pao and grilled veg in pesto sauce and all were good. Kheema pao was excellent. . "
1533,"After hearing a lot about chatter house we decided to visit the place. Located in the epicuria mall just opposite beer cafe is the chatter house. The place reminded me of HIMYM's Mac Larren pub. The similarity was hard to miss. The place has indoor and outdoor seating area. We decided to sit inside as it was cold outside.The indoors resemble the Irish pubs with classic rock n roll being played in the background. On the entrance billiards and foosball tables are placed. The name does justice to the place as it is actually a place you can sit & chat with your friends over drinks.It was happy hours and we started with absolut which was 2+1. To go with our drinks we had onion rings, bbq...read more"
1534,"Well to begin with dis place has really  nice decor which gives you a really nice feel of being outside India.Dim lightning with nicely finished woodwork is really appealing.Music was slow old rock n roll which being a fan I quite enjoyed quite a lot.Moving on to the main thing wat pubs n zomato is all about drinks n food.I hd quite a range of nicely done drinks ma friends tried all cocktails as I was the one paying for it.They relentlessly ordered the drinks.happy hours were der to save me.drinks we're nicely priced n quite well prepared.Do try caprioska but please do not order  Manhattan ,ladies can go for a glass of cacke martini.Food was not as good as I was expected.it was...read more"
1535,The place offers you charismatic interiors and lets you choose to sit indoor or outdoors with both having their area of expertise .. Went to the place along with few friends and occupied outdoors where the calm ambiance is for sure going to attract you .We ordered a pizza and a pasta alongwith few drinks of which the best part was the pizza being baked on the very right side of us as they have the wood-fire oven to serve the purpose . They have a pool table as well which would only be vacant if you find yourself lucky someday . The best time to hit the place would be any rainy day and grab a seat outdoors . Although you may find the place low on hospitality but the mesmerising place...read more
1536,"I visited the place with a friend and was delighted with the decor and ambience of the place. We stumbled upon it when we decided to visit the food mall at Nehru Place (below Metro Station). We ordered Nachos with Cheese and Chicken, Chicken Nuggets and Spaghetti Chicken Red Sauce Pasta. Thoroughly enjoyed the nachos and nuggets but found the pasta to be a tad disappointing. Hot chocolate was delicious. Overall, a satisfying meal and a nice place that definitely deserves a visit by all food lovers!"
1537,Visited with 3 more friends.This place has a great ambience.Lovely music.Nice staff....but but but...not so tasty food.Even drinks taste bad.The open air area is full of smoke.There is a lot of noise all around and the worst part is that it is too costly as compared to the overall experience.
1538,Good food both veg and non veg . Specially veg platters  and pizzas . Overall a nice place to try . Great ambience  and courteous staff . One of the best outlets in this league. 
1539,This place might burn a little hole in your pocket but believe me it's worth it. Super amazing ambience and toothsome food. Loved the mac and cheese! Would love to visit again and again. 
1540,The Jamaican jerk chicken is a must try. The food is very tastyThe ambience is greatThe pricing is really good too I love the aap panna vodka they serve
1541,The place seems to be over rated. The food is below average. The taste is not up-to the liking.The ambiance is good. The service and quality is average.
1542,"Good food, good ambience, pocket friendly. Has a few indoor sports like pool and foosball. Have been here more than a few times, and never disappointed."
1543,What startled me most when I walked in was a family sitting. Never the less food is amazingly good for a retro bar! Ambience is way to dark. Music is fab. Great place to come post work with office guys to unwind. Surely not a date night place! 
1544,"Chatter house has been our regular hangout place for a while now. Their drinks, especially pitchers are worth trying.On our most recent visit, we started with their famous cheesy fries, which were heavenly, layered with cheese, salsa and white sauce.For the main course, we took a Wild Mushroom risotto and a vegetable pizza. The pizza was perfectly crisp, and the risotto was full of flavor. In fact, this was the first time I didn't have to reach for the salt to add to a risotto. This one was well seasoned.With this meal, I took their Apple Rosemary iced tea, which was like summer in a glass. That was a very welcome feeling on such a cold day.Overall, our visit was superb as...read more"
1545,"Nice ambience, perfect for the evening.But got dissapointed with food served.Very bland. No taste.!!Try tiramissu cake.Overall an average place to spend the evening."
1546,"I always wanted to visit this place but end up eating in other food outlets in Nehru place. I finally made it to Chatter house one fine day. we ordered fillet steak and cordon blue chicken burger were decent. Chef Ravinder also very understanding. The menu is very well crafted, Decent ambiance, good music. Great Food .Nice staff. overall great experience.Definitely recommend it.Food= 5/5Service =4/5Music =4.5/5Ambience 5/5"
1547,"A good place to hang out with friends, The food is awesome in a nice Ambience. Service is a bit slow but overall you will like the place. Infact like to visit the place more often."
1548,"I ended up taking a former colleague to Chatter House, Nehru Place as Epicuria was an easy option since he was living in Eros Hotel. I had been to Chatter House once before and was quite happy with the experience and expected the same. Being a Tuesday we got a seat immediately in the patio at the back. Something which I noticed was that the seating was a bit uncomfortable and the area a bit too dark. We ended up ordering the Non Veg Tandoori Platter which was very nice and the meats were moist. We also went for  Pigs in a Blanket in Brown Sauce which I had loved on my prior visit but this time the bacon was hard and the dish could be warmer.  The worse thing during the evening was...read more"
1549,"One thing which stands out for TCH is amazing service. It's good to see lot of Indian restaurants are making an attempt at it.The outdoor-ish seating is blissful on a cold winter night with a smoke and conversations.It was a short drop by so didn't get a chance to properly try out the food.  Non-veg platter could have more variety. And they didn't have a couple of beers displayed on menu, including Budweiser, in stock. Hence 1-point low rating.Will come back again. Hopefully with more time and bigger appetite."
