,Antidot Waterbar Cafe
516,"We visited on Wednesday night and were highly impressed by the interior, food, service and courtesy of the staff. We tried Veg Pesto Pasta, Fat Indian Plate (Paneer Tikka, Mallei fondue and kadak naan), Mini cheese stuffed kebabs, Cold Coffee and Death by chocolate. Everything on the plate was presented so well and tasted even better. There was live singing. We were so impressed that we didn't even mind paying the mandatory service charge. The menu has more items in the Non-Veg section than Veg which could be improved."
517,"An amazing ambience, great foodTek Singh Rana was great.Had a lot of fun at the rooftop sitting.Nicely tucked in a quiet part of Delhi with a happening atmosphere."
518,"The rooftop area is good, wine cockatils are very ordinary, food was mediocre but sheesha was superb!! Ceaser Salad was average but quantity was good!"
519,"Antidot Waterbar Cafe is a newly opened cafe in the Safdarjung area which is trending now a days.First of all, the water bar concept can only be found in the rooftop where you can find water flowing all around the table while you enjoy your meal.The rooftop ambience is pretty but nothing too good. The view at night might be a pretty nice one but in the day time, it is just normal.Coming to the food, we ordered Green Thai Chicken Curry which was really good. The quantity was enough to serve 2 people.The taste was also medium spicy and it tasted amazing.Another thing that I ordered was Hot Chocolate which was nothing like a Hot Chocolate. It was very ordinary and I have had better at...read more"
520,Wonderful ambience. Friendly staff. Amazing food. Best thing they have a rooftop and they serve sheesha. One should must try their cheesy fries and Mexican Mushroom slyders. 
521,"Finally went to this trending cafe in safdarjung named antidot!The ambience was lit, though i feel that it could be better as my expectations were too high since it is supposedly a water bar.Apart from this, the drinks were refreshing. I ordered cosmopolitan an sex on the beach.In food, we had chilly chicken, peri peri chicken and loaded nachos. All the dishes were delicious!Service- 4/5Ambience- 3.5/5Food- 4/5"
522,Amazing place to hang out with. We were served by Umesh and we had some pretty average sangria but amazing food. Would love to come here again! Don't give this place a miss. 
523,Had a great experience here! The food was very delicious. Ambience was very happening!A special thank you to Umesh for his hospitality.It was fun being here!!!!!
524,"Great food amazing ambience, nice music and quick service by umesh. Great place to hangout with friends and family also the staff is very courteous."
525,"An amazing place to be . Awesome food and open setting . An absolute place to be . Love the food . The pizza , kebabs are a must try . We love the setting on the terrace . "
526,"The cafe has a beautiful rooftop seating along with indoor seatings on two floors below.The food is not exactly to die for but you will find it worth the effort. I would recommend 'Fat Indian Plate', Dal Makhani Bowl and kebabs. However the thing that I liked the most was the customer service.They were prompt and attentive and assisted me throughout my evening in a very chivalrous manner. I even had a discrepancy in the bill which I figured out the next day but they solved it over a call in a matter of minutes and took my word for it without any argument or hesitation."
527,"Antidot is a cafe situated in safdarjung enclave segregated in 3 floor second,third and terrace Lovely ambience with amazing food and services Mouthwatering kabab and houstan wings and mini cheese stuffed kabab .they have lovely terrace thats called water bar and small terrace thats called loving booth highly recommended...😊😊😍😊😍😍😍"
528,Attended this place with a friendLoved the foodCourteous stafff and damn tasty foodThe non veg over here is excellentReally loved the experience. Also Jagbir offered us great and timely service..
529,"Excellent restaurant with beautiful aura all around, loved the food, chicken chettinad is a must try, also the server Tek Singh Rana showed brilliant hospitality."
530,"Amazing cafe,ambience and the view . A place to visit again . Reasonable prices with mouthwatering food. Perfect place with positive vibes to cherish the delicacies . "
531,Love the vibe of the place ✌🏻 Great place to hang out with friends and a big thumbs up for the concept behind the ambience. Food is equally great!
532,"Antidot is surely a nice place to enjoy your meal along with the ambience. The food was absolutely wonderful, from preparation to presentation, very pleasing. Good service. Roof top is definitely the best part. Would love to come again 👍"
533,One a finest place with warm and cozy ambience. Food at Antidot has a remarkable taste and presentation. The overall services and staff was kind and friendly. Welcoming place with spaces for all kinds of people. Highly recommended.
534,First of its kind. A place to chill and have fun with friends. Went there on sufi night. Food was fantastic with blissful ambient music. Thanks a lot antidot for the waterbar experience.
535,"I have been visiting this place since its opening, and i have been liking this place a lot. The location is very good , and so is the food and service! One should try their chicken chettinad and mushroom galouti roll❤️"
536,"Located right in the corner of safdurjung emclave b6 market, antidot waterbar is a casual chilling place which turns into a happening place in the evening with its regular live music nights. It has a huge terrace with greenery all the sides.And their WATERBAR is something new to see in town. All the cafe is hand painted, that’s their Usp.Beautiful Interiors and great food. About food I love their Chicken chettinad, Bao’s , grilled fish, chicken salad & BurgersTheir staff was also quite welcoming and they took good care of us. "
537,With high hopes we went to this place. Entering here the ambience was amazing the view was good but that's it folks. This was the worst experience of my life in a restaurant. We ordered drinks (Simple Whiskey) and the service was so poor it took them 20 minutes just to get the glasses and another 5-10 minutes to get water and coke. For appetisers we ordered grilled fish at first it was okay but when we ordered second round of fish it was cold and with excess salt. We ordered margarita pizza it was fine and ordered Chicken with French fries with caramelised onion the server did not hear and just got caramelised onions we had also ordered grilled veggies bao which came after 45-50 minutes...read more
538,"Went out in Delhi after a month-long haitus. Got this place as recommendation.Cocktails are okay. Tried Whiskey Sour, others had Pina Colada, LIIT, Bloody Mary. Alcohol content in the cocktails were meh!Food was okay but again quantity was iffy. They had run out of Huostan Wings, the Peri Peri Chicken was Satay and for the Indian palate, that is too less. For 500, the meat was less than what you would find on a breast piece.Service was slow. I don't know if it was because of Saturday night.They had, I think, run out of inventory, as they practically served our last piece of fish and took it while we were still eating out first serving.On the plus, the ambience was good and the...read more"
539,"I wish I could review this place but sadly can't cause of the bad experience I've had.The place was totally full, and despite making an online reservation as well as calling in before hand only to be told ""come, no problem"" we were not given a table...Bad handling of the situation made us leave voluntarily...."
540,Such a lovely evening & one of the best place to visit in Delhi. Lovely food as well as amazing service. Very professional and attentive staff. 
541,"An amazing place to chill with friends!Great ambience!The best part of the place is its open terrace which is beautifully designed!Great sheesha!They also provide angeethis to keep you warm, when required!We ordered for loaded fries which were fully loaded with mozarella cheese and mexican mushroom sliders 🍔 with fries, these small sliders were filled with mushrooms and tasted perfect!!Loved the place, service, ambience & food!"
542,"Its a nice place in Safdurjang. Was attending a friends party here yesterday. Was only at the terrace so cant comment on the floors below. In all the place has some 2-3 floors.The terrace is nice and spacious. They even have a small one table type space above the terrace . Its like a terrace above the terrace. In terms of drinks. They were all good. Was really inpressed with a drink they call the dark knight(i could be wrong with the name) its their renderation of a whiskey sour. GUYS.DONT MISS IT AT ALL. Amazing. Have had whiskey sour at so many places but this was different.. really liked it. The food was good. Had some nachos,, fries , chilli chicken for what i can remember...read more"
543,"The management needs to rework their cocktails, while the presentation is great the ingredients used are definitely sub-standard and all cocktails have a bitter chemical aftertaste. Extremely Deceptive management practices as well on deals."
544,"Nice AMBIENCE, good food, love there mocktails, chilly paneer was awesome, overall a very good experience. recommended to friends for a visit"
545,Excellent food..amazing ambience and cooperative staff...Must try prawns superb taste ...hookah was good too...Good service by Anveer Singh...Must visit👍🏻👍🏻
546,Best place for drinks. Awesome ambiance and super friendly staff. Do try the wings and the signature cocktails!! Chicken chettinad is to die for. Lovely music and the terrace is beautiful. 
547,Its after a long time that I have been to someplace which had the perfect vibe. The ambience is amazing and the hospitality is top notch.The drinks and the food is to die for.It's a complete package. Delhi's first water bar is a must visit I would say You guys are doing a wonderful job and keep it up!!
548,"Went with the reference of a friend. Mayank, the owner, is very polite and helpful. The outdoor ambience, live performance and waterbar concept just added to the overall food and beverage setting. Would definitely recommend! Especially in the winter setting :)"
549,Nice place spread over 2-3 floors ! Good ambience ! They have a cool rooftop area . Service is quick and polite .Food was also great !We tried mac and cheese pasta . It was super hot and very creamy . 
550,Had my lunch here.. smart ambience.. lip smacking chilly paneer.. orange mocktail was tasty.. good music.. good presentation.. thanks rahul and mayank for the discount..
551,"We went here on valentine's night. Quite honestly, I really liked the place for their delicious food, amazing ambience and live music. But service was way to slow, we had to get up ourselves to call waiters to get something. Drinks came on time but we ordered Just two dishes and after almost 15mins they informed that one of it is not available and another one took forever to come. We thought of cancelling that since it was taking so long, since we were getting late. Trust me guys, if service was good I would have given this 4 above rating because rest of things were great. Staff was very courteous..Hope this improve in future.Also, just a suggestion nothing to do with ratings, We...read more"
552,I had the worst restaurant experience at this place. We booked a table a day before coming to this place. But apparently they did not reserve it for us. We were given 2 chairs to sit next to the bar which was completely dark. We asked the staff several times to make us sit at a better place but they were highly uncooperative. 
553,"So when we heard the name Antidot- waterbar cafe, it was so intriguing that we decided to go and check out. And it was beautiful. Be it the concept, the interiors, the hospitality, the food, the drinks, the music, the ambience, I was beyond satisfied.Some of my favourites that I had here were:Malayi soya chaap- Well marinated, very soft and well flavored. Definitely recommended.Houston chicken wings- Chicken was very juicy and the sauces and spices just made the taste better to another level. A must try!Mini cheese stuffed kebabs- These kebabs looked really green and nice with all the presentation. And it tasted even better. Perfect crunch outside with perfect moist inside. In...read more"
554,The best in the town ❤️❤️❤️Proper place for party I really loved the ambience of this place very unique Food - 5/5 Drinks - 5/5Ambience- 5/5 Atmosphere - 5/5 Service - 5/5 
555,Amazing place for party Food was too good Service was excellent Very happening place i really love the live music here #Antidot_Waterbar_cafe 💕💕💕
556,Very nice ambiance. Umesh was very nice.  The food was really good. Umesh has looked after his customers really well. It was a really good experience. The roof service is extremely good. A must experience for everyone. 
557,"This place is so pretty. I visited this place on Wednesday and fell in love with the ambiance.Amazing food and cocktails. Friendly and courteous Staff , love to visit this place again. I met manish there and he took care of our table really well. Thank you manish and antidot. "
558,"We visited Antidot on a Sunday night after finding it on one of the leading restaurant app. The restaurant is spread over 3.5 floors. The top 1.5 floors are rooftop and simply amazing. We reached there around 9:15 PM and there was live performance going on. The experience was awesome.And it was made better by courteous staff who were fine with us shifting tables twice, had angheetis to keep diners warm in a bit cold weather of Delhi. They added tables as the diners number got increased on rooftop and they did it professionally despite being new. They serve variety of cuisine along with alcohol and hookah. We tried 3 items and all were well prepared and presented.Need a few...read more"
559,"Antidot waterbar cafe is a beautiful cafe located in Safdarjung. It has a lovely ambience and is located in a good location. This cafe has a lovely rooftop and a very good ambience. The food here is very good and the mocktails as well as the cocktails are really refreshing! The chicken kabab and chilli chicken is a must try for the non-vegetarians. For the vegetarians, amritsari kulcha and the veg kababs are a must!Overall, it's a really good cafe and I'll rate it 5/5 for everything."
560,"With a tremendous increase in the food industry and the enthusiasm of the consumers trying new cuisines and experience something unique out of the culinary delight, Antidot came up with a flabbergasting concept of building the first Waterbar in town. As fancy as it sounds, it looks alluring too. Heading to the rooftop, continuous water flow on the bar desk, sitting with tables with water inside, and even the water flowing on the side wall of each seating is a kind of fancy poison that Antidot has to offer and cure."
561,Visited antidot on a Saturday night ! Great ambience and food. Great service by anbir! Will definitely visit again. Penne arrabiata and bao is a must 
562,"Great place! Best Shisha so far , love the food especially the Chilli garlic fish which just melts in your mouth ... the roof top is the best place to be !! Ps: courteous staff and amazing ambience !"
563,"Recently I went to this place with my friends and I just fell in love with the concept. Do not miss to take the terrace table because that's the best, wherein there is water bar (literally) and the whole boundary of the terrace includes water, which was beautiful. They have two more floors beneath this with amazing interiors and lightings. So yeah, this place was huge and gorgeous.The food and drinks that I had here were again amazing. They had these really cool cocktails that I'd recommend everybody to have atleast once. Trust me, it's worth it.Death by chocolate- This one was vodka basedAnti Dark- This one was whiskey basedAntidot Waterfall- This one was gin basedNow, the...read more"
564,"This cafe offers a much needed break from the hustle-bustle of the city. This is perfect to chill and enjoy some great signature cocktails!! The hospitality is amazing and you must try the (1) Chicken Chettinad(2) Beer Breast Chicken (3) Mini stuffed Cheese kebabAlong with awesome food, the drinks are also superb!! I highly recommend this bar. It is an absolute treat to the eyes!!  One of the best bars in Delhi!"
565,"Antidot waterbar cafe is an amazing cafe located in the Safdarjung area of New Delhi. It has a lovely and soothing ambience and is certainly one of the best date places in town. The food here is amazing. Non-vegetarians would definitely love the chicken kabab which they're serving of 2 types in a single plate, I tried it and it was literally amazing. For vegetarians, amritsari kulcha is a must which is served with 2 different Indian gravies! The mocktails and the cocktails are also pretty good, the virgin mojito is extremely refreshing with amazing taste and for cocktails, you could try the Classic Martini which is amazing too. My overall experience was really good and I'd love to visit...read more"
566,"I went to this beautiful place with a couple of friends last Sunday.There was a live band playing on the rooftoop, where we were seated and it was amazing. The place has 3 floors in total including the rooftop.The service was top notch and no complaints for that, whatsoever.We tried:Malai Soya Chaap: It was very creamy, soft and delicious. It was pretty fresh and I really liked the flavours.Malai Cheese Stuffed Kebabs: These super soft and moist Kebabs had cheese in it. The presentation was really good and so was the taste. They just melted in mouth.We also tried their Chicken Wings which were equally delicious. The chicken was really fresh and the marination was properly...read more"
567,"I recently went to this super amazing place in Safdarjung.It is spread across three floors with the terrace, being my favourite. Each floor had the perfect lighting and mood set to it.There was a live music going on at the terrace. The interiors of the place are very nicely done and looks very classy.The service was top notch. Mr. Chetan Pundit and Mr. Anveer Panwar made sure everything reached the table on time.I tried a couple of things here. Some of the things that I'd recommend you to have here, are:Piri Piri Chicken Supreme: This was spiced smoked chicken morsel served with cocktail cheesy dip. Honestly, it tasted amazing and the flavours were pretty strong.Malai Soya...read more"
568,Perfect place to hangout and chill..!!! Really like the ambience and the service Quality of food was nice and was served hot and was very quick 
569,"Must visit.They have an amazing rooftop.Their cocktails are really good , especially antidont waterfall if you enjoy frothy cocktails.We had syrian chicken parantha roll , veg tartellete, mini cheese stuffed kebab and brownie with ice cream .Cocktails - amazing , mind blowing . 4/5Chicken parantha roll - the chilli spice overpared the actual flavours 3.5/5Tartellete - it was too salty do we got it replaced 2/5Kebab - they are quite good 4/5Brownie - too much flavour of egg but otherwise it was good 3.5/5Service - service of exceptional . Mayank, one of the managers of very good with his suggestion and service. 6/5Ariv, one of the servers served us quite well .Over all...read more"
570,Chetan singh pundir was really great to serve ... and the ambiance was epic .....stag n ol free ..... really gud ..... food n drinks are epic especially food 
571,"Antidot waterbar and cafe; this newbie in town is definitely worth visiting. Huge multi-storey property, with quirky interiors. Delhi’s winter afternoons being pleasant and comfortable we opted for rooftop seating. Staff is efficient and well informed. They helped us in placing order.Cafe style menu, serving multi cuisine dishes. Started with chicken ceasar salad and apple liit. Chicken kebabs; chicken tikka and chapta kebab along with chutney. Chicken tikka was fab! Perfectly spiced and worth drooling. Green chilli and organic fish tikka; looked super inviting and palatable. And Chicken Chetinad with malabar parantha perfect duo. The dish tasted finger licking good. Strongly...read more"
572,"anddd the good news is, Antidot is finallyy opened and I just couldn’t stop myself from checking out the place asap. So, I recently visited Antidot with a friend and we were amused to see the whole place. It’s a large property having quirky and funky interiors along with natural plants kept alongside the waterfall. The best part is the terrace seating which will so goood and makes you feel all positive and great. The menu was beautifully curated having some of the very new cuisines like madras mutton curry, srilankan fish curry, etc.We started with Ceaser salad which was very well-prepared and was veryy fresh; followed by CHICKEN TIKKA PLATTER which had chicken pieces served with...read more"
573,"This place is definitely a must visit. The ambience and decor of the place is so beautiful I can spend each and everyday to experience the beauty of the place and relax. The icing on the cake is that the food here is extremely delicious. They have a very different menu and anything you order is finger licking. Things I ordered were mushroom Risotto, chicken chettinad, cream of mushroom soup, mini cheese stuffed kebab, chicken dimsums, oyster chicken wings. Each and everything was better than the other."
574,4 star for the ambience of the rooftopOrdered: red wine sangriaWhite sauce pastaChilly paneer and beerSangria was not good at all.Pasta was okayish not that particular flavour.Chilly paneer was good.But the owner was really nice to usHe even offered us to replace the sangria.Must try rooftop :)
575,Great place with a great vibe !! A new go to place .. specially for the couples ( as they called the deck upstairs a special romantic vibe spot lol ) and for all the sheesha lovers. I completely loved the vibe of this place. Lovely staff & hospitality!! Thanks  to jagbir & anveer panwar for a great service 😊
576,This place has just opened 2 months back so the crowd was not up to the mark. It has a beautiful interior with a gentle water bar and attractive ambient lightning. Its a nice cafe for a one time visit. Food was 8/10 and its a bit expensive as compared to the taste of food. The waiters are polite and friendly and the service is really fast. Their terrace is amazing to chill and eat.
577,"Antidot is located right opposite to the Deer Park at Safdarjung Enclave which is apparently Delhi's posh locality which lies amongst the greenery of Deer Park. The area has been built upon three floors including the terrace seating which makes you witness the nature's beauty all around. Plus the decor that they have done is commendable. The service is quick and the taste of each and every food item is exemplary. A special mention to their peri peri chicken supreme which came in skewers and were served with spicy mayo dip. It tasted amazing. Apart from that I had tex mex nachos which had a topping of chicken keema, mayo and salsa sauce. This was another appetizing dish. Mac and cheese...read more"
578,"Antidot as an idea had promise - a good location, decent interiors and the curiosity inducing subtitle of a 'Waterbar'That's where the good stuff ends - they play bizzarely loud, terrible music at all hours (seriously, people probably don't want to dance to Kygo at 5 in the evening) that makes talking or even thinking a herculean task in or around the premises. Also, there's no such thing as a Waterbar, its a lie. Please play music less loud and maybe I'll begin to think about returning."
579,"A romantic lounge with a beautiful landscape outside seating. Antidot Cafe is a 3 level lounge with a fascinatingly lit 2 level indoor seating and a eccentric rooftop seating which has a waterbar. Probably a new thing to know or experience, that a drink can now be served on a marble on water instead of a regular wood stage of the bar.In Food we had,- The MFB.A very tasteful salad with an assortment of lettuce, cherry tomato, salmon and shrimp. The dressing was quite fulfilling and the wholesome healthy feast was very satisfying.- Tex Mex Nachos.With Meet keema infusion, the nachos were really joyous to eat. The keema tasted splendid as an amalgamation.- Kadahi Chicken...read more"
580,"I came across this unique place where the ambience includes water decor which gives it a classy and ethereal look. Antidot Waterbar Cafe is perfect for a multitude of occasions; be it a lunch date or a night out with friends.They have both an indoor and an outdoor option for seating. The view from their terrace is of the Deer Park which is right opposite to it. The staff is courteous and helpful and they serve quickly.We had ordered the following items:Death by chocolate- A unique combination of a chocolate shake and vodka, this drink is a must try for all chocolate lovers. The presentation of the drink is amazing.Whiskey sour- The classic mix of whiskey with a dash of lemon and...read more"
581,"Hi there, this place is amazing opened on 16th January is not to long for this young place to catch your eyes. From staff to food everything was great. Special thanks to Anvir and Manish for the services. All the best and warmest regards and days to you! Thanks- Arpita "
582,"Antidot is Delhi's first waterbar cafe with water flowing all across its perimeter and especially at the bar. It has been built across three levels. Inside seatings are warm and cozy. On a winter afternoon, perhaps the terrace seatings are preferable with a green view of the deer park plus the outlet itself that has been decorated so well. The staff is welcoming and suggestive. They helped us choose the best seat to the best dishes and drinks. All the deletable items were served to us within no time. I ordered the following items:DRINKS:BERRY SANGRIA - red wine sangria along with berries made a perfect combo. The presentation and taste was bang on.DEATH BY CHOCOLATE - This cocktail...read more"
583,All the souls out there in South Delhi who want to party to some nice music and some yummy food I suggest you guys this place called Antidot Waterbar in Safdarjung Enclave. The place has a very nicely done ambience. The staff is very well mannered and the service is prompt.We had ordered the following drinks:Whiskey Sour and Old Fashioned: Both their whiskey based cocktails were almost perfectly concocted. Whiskey Sour had just the right amount of egg.Death by Chocolate: Vodka based drink with a chocolate base. The look of this cocktail just stole the show.Moving to the food items we ordered:Multiple Mushroom Soup: This soup is literally heaven for any mushroom lover. The soup...read more
584,"Water, water everywhere, should be its tagline. There is water in walls, table, literally everwhere. Such a unique concept.Food is good, with my fav being Houston wings, chicken dimsums and idli popcorns.My fav cocktails were kala khatta LIIT and berry sangria.Brownie mille was damn delicious.A perfect place for a date."
585,"If you're looking for a happening place with amazing food, good ambience and rocking music, Antidot is the PERFECT spot. Located in the hub of Safdarjung, Antidot has some delicious dishes to offer:1. Cilantro Chicken Suimai- Cooked to perfection, these dimsums are pure love! Nobody can have just one.2. Mac N Cheese- This cannot be missed out. Loaded with chicken and cheese, it is fabulous and finger licking good!3. Brownie with Icecream- Never have I ever tasted a brownie so chocolatey and goey! Served hot with vanilla icecream and chocolate sauce, you will savour this till the very last bite.Can't wait to try the other dishes here! Service is great, and presentation of food is...read more"
586,"Antidot is Delhi's first waterbar cafe and all I've got to say is that the hype is worth it! What a beautiful property! A late night dinner with your bae, or a weekend party with your family and friends- this place has got you covered on all fronts.I tried a couple of things here:1. Mac n Cheese- THE BEST ONE IN TOWN! DO NOT MISS OUT ON THIS ONE. Highly recommended for all cheese and chicken lovers!2. Fish Tikka- Chicken Tikka, Paneer Tikka are so conventional. Antidot went ahead a step to bring to us the perfectly marinated, super delicious and succulent FISH TIKKA! Yum.3. Pina Colada- Try from their wide variety of mocktails and cocktails. Ask the staff for suggestions!4. Brownie...read more"
587,"Excellent ambience and great food. We ordered a Berry Sangria, a Rose Sangria, Houstoun Wings, and Spiced Wings. The food was great, especially the Houston Wings and Berry Sangria. Our sever Mr. Umesh was very welcoming and polite. "
588,I love places with a Terrace! So after a quick search I found this newly opened place near my house. It was pretty could on the terrace but the view was worth it. I ordered a Hot Chocolate. Though it was soothing but I feel it could  have been a little better in it's rich chocolate taste. Then I ordered Chicken Chettinad and Spiced Prawns. The Chicken Chettinad was served with Malabar  Parantha and it was damn delicious. I can easily say it was one of the finest dishes I have had ever. Even the prawns were good. They had the basic Chicken Tikka dressing and they were crispy and juicy. Happy to have a wholesome meal here.
589,"Antidot is a great place to have a meal. A multi storey restaurant with aquatic theme and a great view. I had Virgin Mojito as my drink and ordered Alfredo Pasta with a Chicken Pizza. The Pasta was super creamy with right amount of flavours, nothing extra. The pizza was thin crust with generous quantity of chicken on it. I liked how they kept their pizzas light yet heavy with toppings. A lucrative meal I had, I must admit."
590,Horrible music! Too loud! No scope to talk and think. They should seriously consider reducing volume to suit the size and acoustics of the place. Plus the cocktails are mediocre
591,"You're in safdarjung and if you don't visit this place then you are definitely missing out on something really amazing .So I was here recently and was extremely happy with the ambience , food and hospitality these guys provided us.My friend had accompanied for a visit here and we were finding a place where we could sit and talk and enjoy weather over good meal.Mr. Tek Singh was serving us and he had left no chance to make us happy and enjoy our meal with his fast service .Now coming to the food we had ordered -Drinks -Berry Sangria - 5/5Food -Chicken Baos - 5/5Fish baos - 4.5/5Caesar salad - 5/5Houston wings - 5/5Melon feta salad - 4/5Paneer Tikka - 4.5/5Smoked cheese...read more"
592,"Not nice. The music was extremely loud; ambience wasn't at its peak; and who plays kygo in 2019!They really need to update their playlist, and turn down their volume.If I had the opportunity, I would have given them 0 stars!"
593,"I went to this place called antidot cafe located in Safdarjung. The ambience was pretty nice. I had their soya tikka, chicken tikka and paneer tikka. Also, we loved the salads. I even liked their pan mocktail. They have a waterbar on the top which is amazing and the presentation of the food was amazing as well.We totally loved it. Will be coming back soon. "
594,"Antidot is a very beautiful place with amazing food. The cafe doesn't compromise on the quality of food. And the presentation of food was just amazing. Overall, it was a good experience. Thumbs up. "
595,"NEW OUTLET ALERT!“Antidot Waterbar Café” at Safdarjung enclave is surely a place to visit. Place looks spacious and has good vibes. Their guest engagement, food, drinks etc. was top notch. Serves Italian, Continental, Indian and some good drinks. Full Bar is available here. Spacious and has a good vibe. Happened to visit this place yesterday and this is what we had:1)    Anti Bull LIIT: Long Island Ice Tea with Redbull base. Apart from this it also had triple sec, vodka, light rum etc. to perfection. Really loved this refreshing drink. Must try.  2)  Anti Waterfall: Nice unification of gin martini bianco, infused cinnamon and then topped with curacao foam. Very refreshing and at...read more"
596,"Despite the fact that lot many eateries/café/bars/lounges are coming up in the Delhi-NCR food scenes, but only few are able to leave a long-lasting impression on the communities. “Antidot Waterbar Café” is one such outlet which will surely mock you with its artistic cocktails/mock tails as well as their gourmet food.Words won’t do justice to their amazing hospitality and food. You have to come here at least once for experiencing the same as the place speaks volume about the immense power it possess to blow you away with its unique amalgamation of modern food techniques with Indian as well as Continental and Asian. Really loved it.My visit has sealed the deal that it’s going...read more"
597,"Prettiest new place in safdarjung. Really takes the name ""Waterbar"" to a whole another level, from the water flowing on the counter around the pebbles to the outside area's bordering stream of flowing water. Even the interiors are sight for the sore eyes. Will recommend to everyone who wants to find a new place for party and general hangout in a already overflowing South Delhi area. "
598,"Amazing place to chill, party . Staff was very polite and helpful. Mouth watering dishes, ambience will make ur package of complete fun and day well spent. "
599,"It's an amazing place for party or a casual get together with your friends. I went there last week with my friends and we really enjoyed ourselves.We ordered some mainstreams: pizza and spring rolls, which was amazing as expected.Then we experimented a little with the menu and we weren't let down at all. 😇"
600,"A perfect place to be, be it during the day or evenings. It's a perfect blend of good food and ambience with natural light coming in during the day. And The Water Bar makes it perfect for the tipsy evenings. The terrace is simply amazing. The trees, the flowing water, the utterly delicious food, and an even better taste in music makes it just PERFECT.I have been here twice, and have always been treated with the best hospitality. The staff is extremely polite and helpful. Seeking House Specialities was the best decision.FOOD Must haves: Chicken Chettinad, Malai Chicken, Chicken Wings, Paneer Tikka and PIZZAS!!!DRINKS Must haves: Pan based Mocktail (this is to die for), Guava based.....read more"
601,"This place is going to be listed in one of the most famous places for chilling and parties very soon. I totally loved the experience here. Went here I was pleased with the service and staff here. Such warm welcoming and helpful people who will make sure you have an amazing time.The bartender made me a special drink with whiskey which was so amazing. It doesn't have a name(for now) but whenever you go , meet Mayank who's manager there and tell him you're from my reference and he's going to greet you with this special drink.Food was amazing. Chicken dishes were amazing specially chilli chicken , it was outstanding. From the ambience to food , you will love your visit here. Cheers"
