,TOS - Take Off Scarlet
1755,"Take Off Scarlet is a place whose usp is its ambience! It has two levels. The lower one is dimlight with a nice dance floor while the upper one is an open terrace.We had honey chilli potato, spring rolls and paneer tikka for veg starters and lemon fish and chicken 65 for non veg ones. The chilli potato were the best amongst these. Lemon fish was also delicious but we didn't enjoy chicken 65 as much as expected. We also had the pizza which was nice with good spices leaving us wanting for more. For beverages, we had virgin mojito, electric lemonade and strawberry and kiwi slush. The virgin mojito was perfect, though we ordered it twice and received it in different size of glasses. The...read more"
1756,"TAKE OFF SCARLET, more famous as TOS, is one good place to hang around with friends.With a proper Dancing Area and A great in house DJ playing the best bollywood numbers, it becomes on of the best cafes in the area to fulfill the craving of dancing in you.Hookah was up to the mark.It has almost all the snacks one wishes for, I tried the following :Paneer Tikka:- 5/5, Quantity is GreatSpring Rolls :- 4/5Baked Nachos with Cheeze :- 4/5Bruschetta: 4/5Manchow Soup : 5/5Pasta Arabiata : 4.5/5, a little sweet thoughThe North Indian main course is just amazing, breads were crisp nd tasted nice.Drinks like all other places in delhi today complimented the food to the fullest."
1757,"Punjabi Bagh these days is bustling with places to party but this place, Take Off Scarlet is the go-to for everyone. The ambience, the vibe here is just amazing. Though the rooftop was temporary unavailable at the time of our visit we still had a gala time with the Dj setting the tone.Coming to the food and drinks we tried the paneer tikka, bruschetta and Loaded Nachos for starters. The bruschetta, loaded with fresh tomatoes were really good. The paneer tikka too tasted as expected. Next came Pasta and springrolls. Their taste too was really good . Mojito and bluelagoon complemented the food perfectly.For main course Dal Makhni, Paneer Lababdaar along with Garlic naan and Lachcha...read more"
1758,"Finally got a chance to visit this gem in Punjabi Bagh,Take off Scarlet and I have to say that it was a memorable night for me! The tone and ambience of the place is just class apart! The service is lightning quick and the food and drinks also do justice to your taste buds.I tried their Paneer tikka,loaded nachos,Red Sauce Pasta as starters along with Manchow soup! Then for main course,I tried their north indian dishes,Dal makhni,Paneer Lababdar along with Aloo Pyaaz Kulcha,butter and garlic naan and my craving for north indian ended blissfully! The Virgin Mojito and Blue Lagoon mocktails where also amazing!Also,I enjoyed their Blue Apple Sheesha,it was one of the best I've tried in a...read more"
1759,Pocket friendly. Great ambience.​Staff is cooperative. They serve one of the best hukka. They have enough space for dancing. Best place in punjabi bagh in budget.
1760,"Situated on the club road area in Punjabi Bagh, Take off scarlet is a perfect party place in West Delhi. They have two floors with separate sitting areas - one is the lounge with a dance floor and the other one is a rooftop bar. We opted for the rooftop bar area on as the weather was really amazing & we enjoyed the tranquilizing ambience of this place. We started our lunch with some drinks & appetisers. We ordered My sweet babe mocktail and a Kiwi cooler mocktail. Kiwi cooler was very refreshing with sweet & tangy taste. Then we tried Hakka noodles with egg, paneer tikka and veg seekh kebab. Hakka noodles were okayish. But paneer tikka & Veg seekh kebab are the must eat dishes here. We...read more"
1761,"Take off scarlet is a lounge & bar spread across 2 floors on the club road area in Punjabi Bagh. We opted for the rooftop bar area on Monday afternoon. The weather favoured us & we enjoyed the cool & vibrant ambience of this place. The service was bit slow and the staff was lost & unattentive. But the good food compensated for that very nicely. Some of my favourite dishes here are - Dahi ke kebabs, paneer tikka in starters. In mains, their paneer do pyaza is a must try dish and it shouldn’t be missed at any cost. What really impressed me is that they don’t use unnecessary oil/butter in their dishes and that’s why  Everything was simply amazing. It was fresh in taste & unique in...read more"
1762,Nice experience ❤️ we actually booked for rooftop but it was not available. The ambiance was good including the food😍😍 DJ was quite loud otherwise our experience was very good 😅❤️❤️ will Visit again ❤️
1763,I was partying at Take off Scarlet and wast about to leave and then I found staff trying to kill another staff by knife. I was so scared to see and even nobody was present from management to handle the situation. This place is not at all safe for anyone. Even service was   pathetic. It's so sad that we have to incur such a bad experience due to completely irresponsible management. Anyone can be victim as staff is so cruel. This is not a family place. I will  never recommend anyone to come here.
1764,It’s surely an astounding lounge leading Punjabi Bagh. The ambience and the food tops the preference list with the amicable staff. The terrace is something to take a look on. 
1765,First impresion is the last impresion but TOS can not able to prove it. After saying continously about 1hour after which DJ starts and only for 30minutes and no place for the enjoyment you can waste your money here.
1766,An elegant and classy lounge.Take Off Scarlet is the one of the best lounge in the Punjabi bagh.  Its mainly famous for its rooftop. Although this place has 2 floors one is the lounge and the other one is the rooftop. I have visited this place twice. First time I was sitting on the third floor. The place was so good with dim LED lights. This place is far better than some lounge in Punjabi bagh with mannequins. The DJ was good and the floor where you can dance for long.  The food was tasty. Service was lil bit slow. And the next time at the rooftop. This place is a place of fun where you can go with your family or friends to have fun. At night the lightning at the rooftop made it a really...read more
1767,"Take Off Scarlet is easily one of the most popular lounges at the Club Road which has a generous amount of those. The ambience is really party esque with dim lightings with a dance floor and a big set for the DJ. The interiors are beautiful with a few LED embedded tables and a lit bar. The service is comparitively quicker and the food is better too. We ordered a number of things, Chicken Pita Pockets which were the best option in my opinion, Chef Special Chicken Wings, BBQ Chicken Burger, Lamb Wok in Bean Sauce and an oreo and kit kat shake and an orange mocktail. The drinks need to be worked upon a bit. The sheesha was really good looking and didn’t lack on the smoke either. Overall...read more"
1768,I accidentally left a bottle of miniature whiskey in my pocket (completely empty by the way). As we started with the drinks and orders . I just took out the bottle to show it to my friend. The staff immediately notices it and accuses us of illegally drinking our own booze! i showed them the empty bottle but they wouldnt believe and insisted that i paid a fine and said they saw me pouring the drink on the camera. On insisting on seeing the recording they refused to show and asked us to leave. Needless to say the night was ruined.
1769,"Good place with good music. I had good time with my friends. Things which I tried here were dahi ke kebab which was just fine, corn salt n pepper it was good, French fries which I did not like it, it was full of oil then I tried pasta with Alfredo sauce which was the worst choice that I made and lastly I tried veg Hakka noodles which was again really very bad. I should say this that here food was not up to the mark but as I said I was with my friends and if you are with your friends then you can really have a good time."
1770,Horrible hookah service. Takes back hookah in one hour direspectfully. No other lounge takes hookah in one hour and that too without any prior information. Poor place! 
1771,I went to take of scarlet had seating on 4th floor and that was my mistake I should have taken rooftop seating  on 4th floor Hukka smoke was so much felt like suffocating  . Other then that loved it ambiance was good music was good and saw the live music loved it  . I will go there again for sure but will take roof top seating 
1772,"It was a good experience. Ambience was ok...I like there food we ordered dal makhni ,paneer butter masala , stuff kulcha all were very tasty.. overall it was good and service was also ok"
1773,"This place is just love..😍😍Their ambience is lit. ❣Even on weekday, the crowd was too good..Their service is little slow but the wait was worth it as the food was really delicious. ❣We had mix sauce pasta, cheese baked pita hummus, omg burger and thin crust pizza. All the dishes tasted right. ✔In drinks, we had cosmopolitan, virgin mojito and chocolates shake. They were also amazing.Overall we had a good time. 😙"
1774,"Rude staff, Misbehaviour, bad food, bad service! Its 0/5. Very bad service.I wish i could give negative ratings. Will never visit this place."
1775,One of the worst cafe’s in punjabi bagh i wish i could review you people negative🤬👎🏻 service is extremely pathetic and disgusting! I guess you should close your cafe and start working with your services and then enter the market to survive😡😖
1776,"The outlet in Punjabi Bagh is solely for youngsters and not for family outing. The food was fine and so was the crowd.The ambiance was fine as well, the rooftop setting is inadequate for large gathering though. The thing that pissed me off was the extremely bad service. After waiting for more than an hour for our order to be noted, the dishes arrived at intervals of half an hour, that too cold. The service improved only after they came to realise that the bill is going to be hefty at our table. Inclusive of the horrendous service, you can certainly find better outlets at this price."
1777,"A flop show, actually setup is nice but apart from that not a single thing i liked about this place.Food was bad and expensive, music was too loud and yeah the staff was really not cooperative."
1778,This place used to be nice. But now it sucks. Poor service and no respect for their customers. Crowd is very bad and you won’t feel good over here. There are better options.
1779,"My favourite party place in punjabi bagh club road,kind of a pocket friendly bar with awesome sheesha and great variety of food with soothing ambiance and lively events and nice crowd,rooftop facilities is available but there is not proper ventilation facility.Delicacies you can order:butter chicken pizza,chicken wings,manchurian,paneer tikka,dal makhani,butter chicken"
1780,"The place was good. But they seem to have a poor budget. All the things i order was not available like spaghetti, cocktails, shakes. Hust one kind of pizza available. Also the chilli chicken was not available, insted they they changed the order without asking. They seem to have just copied the menu from some other place. Why do you do this when you don't have things to offer. This is so immature of you guys. Totally not worth the visit. Also, forgot to add that the bruschetta was cold and worst you can try. Please visit some good places in delhi to atleast have a good taste of dishes. "
1781,I went here on my birthday and it is a nice place to hangout with with friends. There can be some improvements in the food otherwise its a good place.
1782,Take off scarlet has a great ambience with an amazing food.. it also has a bar for alcoholics and you can dance on your favourite beats as it has a dance floor!!
1783,"Though Hukka or sheeshah have been banned all around Delhi, there are few places where you may enjoy the flavourful smokes and enjoy music and food! Take of Scarlet situated in Punjabi bagh has options in both for rooftop dining or the lounge seating! A nice place for parties or for a random plan with friends, TOS gives you options of different alcohol beverages with mocktails too. The roof top dining has a nice view and a great ambience with light music.. these places focus on the ambience and alocohic beverages and the hukkah so it obviously impacts the taste of food! Though they have a wide options for snacks I went for pasta penne alfredo! The taste was fine. Electric lemonade was...read more"
1784,"Take off scarlet - First of all food is pathetic . chef should know the difference b/w crisp and hard - honey chilly potato is hard not crisp ! Also our food is served on broken glass table 😢.And service is slow , vallet parking is slow (self parking is choas )Ambience - 3.5/5Food- 2.5/5Hospitality - 3/5"
1785,Highly unprofessional people.They hd taken our buking for party & last minute they cancelled it .I suggest nt to go dere at all.They r nt trustworthy people.They will spoil ur function at any tym.
1786,"Working staff, food and music is very nice only the management is a bit ill-mannered. Would have given full rating if the management was nice"
1787,Food is great...but the service can't be any worse. It's a great place but the service can't be any more worse...we were almost alone..and weren't even served with water till the end...
1788,"Take off scarlet, punjabi baghWent there for new year eve's party. The experience was really bad. Even though we pre booked, dint get a space to sit and having snacks and drinks which were included in the package was almost impossible. What left (which was almost zero item) reached the buffet area. Also the intake was more than the space available. The walk in entries were given preference as they were an extra pay off to this unit. Service was really poor. Crowd was also not good. A couple could not survive easily and enjoyment was nil. This ruined the whole new year's Eve plan (the day is my birthday as well). Pathetic experience.Taste of snacks and main course - 6/10Overall -...read more"
1789,I had gone to tos (take off scarlet)  and it was a pleasant experience. It is a beautiful place with painted art on their walls and  soft music playing. The outside seating is as good as the inside. It is a terrace with an aesthetic feel. I had ordered: -Orders: -🥩Murg Malai Tikka🍖Drums of Heaven🥤Hazelnut Shake🍤Chicken Korma🍘Laccha ParanthaPerfect Crisp and a perfect taste. For the mains i had ordered chicken korma and they didn’t disappoint me at all. It was tasty and went great with the lachha paranthas. I cannot praise the food enough. Their staff were friendly and readily helping me in all possible ways. After i were done the manager came up to me and...read more
1790,"Everything about our lunch was top notch, We came here on a Friday and ordered paneer tikka pizza and Honey Chilli Potato. We were both very happy with our choices. Days later still craving it...Definitely going back to try other varieties from the menu soon."
1791,Food quality is zero and the waiters have no etiquettes.Me and my friends were very disappointed for choosing such a place to chill.......!!
1792,Very bad service. The staff is least interested in what the customer wants. Really disappointed. Had heard a lot of good things about Tos but I wouldn’t recommend it to anybody. 
1793,TAKE OFF SCARLETIS ON CLUB ROAD (PUNJABI BAGH)ALREADY CATERING A HUGE NO OF RESTAURANTSA NEW PLACE WHICH CATERS ALL AGE GROUPSJUST OPPOSITE TO STARBUCKSSUPERB TERRACESUPERB INTERIORSWORKED ON D THEME WITH MANNEQUINS EVERYWHEREDIM LIGHTINGMUSIC TO GO FORBEST IS D PLACE FOR FOOD AND MUSIC LOVERSTHEY HAVE SPREAD THEMSELVES ON TWO FLOORS3RD FLOOR HAS CLOSED DINE IN4TH FLOOR OPEN TERRACE DINE IN AREABOTH THE FLOORS HAVE AMPLE SEATING SPACESO I TIRED THIS PLACE WITH BUNCH OF FRIENDSFOODSPRING ROLLSSPRING ROLL TASTED JUST WOWTHEY WERE VERY CRISPFULL OF VEGGIESTASTED JUST GREATONE OF THE BEST I HADPANEER TIKKAVEGGIES LOVEFOR VEGGIE IT IS A...read more
1794,"A Bit late though. Ok! We went here to celebrate our chirstmas eve and our only purpose was to dance.ToS did fullfill the motto but besides that it was hell good with the food too.This place has an amazing dj, a dhol wala (cherry on the cake).Since we were so full with dancing we couldn't eat much but then also..We ordered - Dahi ke kabab and Pizza for starters and I must say there pizza is a sure shot try.For the main course we had paneer makhani with garlic naan both perfect.My friends also ordered brain freezer hukkah which they liked alot.The only thing I didn't like was that they charge for water too.Overall a great day spent right."
1795,"Highly pathetic experience. i feel the positive feedback mention is not authentic. i will not recommend it to anyone even if you get free vouchers.i purchased new year event 31st Dec voucher via near buy by INR 4000 but see below what we experienced :1. Pathetic management no one was ready to listen.2. place was extremly crowded in spacing of 50 people there were 1000 entries.3. Exit and entry gate was same which could have caused same incident that happened in Mumbai or uphar cinema. Entire ambience was suffocating.4. There was a stampede at the entry gate, guys started pushing each other.5. We entered and there was no gala dinner empty serving trays as if there was a bhandara or...read more"
1796,"It's pathetic place. Webooked a new year party event from nearbuy app of Rs 4000. The entire event was pathetically managed ,the place has a capacity of maximum 50 to 60 people however there were 1000 people at the same place. There was no food and drinks available when we went there the place was even worse than a fish market. There was a stampede at the entrance and due to which we lost our mobile phone someone stole it. There were no bouncers so many drunk people were mistreating women , it was so unsafe for  femaled.Itried contacting near buy application customer care however those people were so disgraceful they denied to refund my money. I will never recommend this place to anyone."
1797,"Visited here for a friend's birthday. This place is just awesome. Food, space, dj, everything was up to the mark. The only problem was their service, that may be because of heavy crowd, but otherwise it's worth visiting."
1798,"I have been here twice, and I would definitely love to go here again. It’s one of those places where you can eat and dance your heart out at such an affordable price accompanied with a great ambience. The food here is delicious, the DJ is amazing and the outlet is very spacious, and has a lovely terrace as well. If you want to have a great time without burning a hole in your pocket, this is the place for you. ☺️"
1799,Food - 4/5Ambience - 4/5Service -3/5We ordered chilli paneer chilli potato ... chilli soya chap ..pasta  singapuri noodles and some drinks ..chap could be improved .. otherwise it's a nice place to hangout with friends 
1800,Amazing place for parties and all. I just went there to celebrate my friends birthday. The ambience is great.  And the terrace adds more quality to this place. Dj is also nice and the service is great. You should definitely party at its terrace if you go there. 
1801,Good party place with excellent rooftop.Dj was very good and beats were amazing although everything was just fine except their service.Food was delicious and fresh. A recommended place for party time.
1802,"we heard a lot of good things about the restaurant so were quite excited to try it out. The place is spacious with great ambience.  If you are looking for some nice terrace area, this is the place to be!! The food was good in taste and the portion size was right. Service was great and fast. Best hospitality, must visit place if you wanna have a decent and good time with your friends. great job done. cheeersssss."
1803,I visited this place because of its roof top location.I really liked the view of the roof top.  However the mood was soon spoiled by the poor service and pathetic quality of food. The waiters are not ready to attend you. And food taste was really hopeless.I tried nachos which was the worst nachos of my life I have ever tried. The cheese used was of poor quality and it was not worth a single penny. Hakka Noodles was O.K. but it seemed good in compare to nachos. I also ordered mocktail (coco loco) which was also really pathetic.Overall it was total waste of money for me. If u want to go for drinks or smoking or hukka then it might delight u a little; but this place is definitely not...read more
1804,"Well this place is famous for it's rooftop cafe..Though this place have 2 floors the lounge where u can experience loud music, dim lights, food and drinks. On the other hand rooftop cafe has it's own speciality.. nice ambience and good music but the staff were not able to handle the crowd..Slow service and they were also not able to manage the sitting problem..Food was average..I had tandoori chicken pizza which was good and white sauce pasta which i didn't like much..They serve bira at higher price and though hukkah is banned they were also serving hukkah which was pretty awesome for me..Overall a nice place to chill at rooftop.."
1805,"Two really rich shakes and mocktails in terms of flavour and shakes includes oreo shake & kitkat shake and, mocktail cocoloco has a flavour of orange and lime giving it a sweet&sour taste!🍹Pasta, Pizza, Honey Chilly Potato & Nachos, all in one shot!😋😻.Food: 3.5/5, the food served was not hot! Plus, most of the dishes mentioned in the menu were not available!.Service: 1/5, Very Poor service by TOS, not one time but everytime I visit!.Ambience:4.5/5, TOS has got one of the best DJs in Punjabi Bagh!💃🏻.Overall, The DJ, ambience and the Interior will make you groove your booty!😜"
1806,Been here for Christmas Eve We were nine and the table was not satisfactory but food really upto the mark..!!The dj and ambience were all hyped up The bar side is amazing ..!!
1807,"I would never recommend a friend to come here, never. This is one of the worst restaurants you can ever go. they don’t have enough staff and the ones they do isn’t worth it.The service is so bad that at one point i thought that they didn’t serve anything you just have to go and fetch your own drinks and food. Like i had to go 4 times to ask them where is my food ?  And the stuff that you order doesn’t come till 30-45 minuets ! Which is totally outrageous!  change the why you do business because you might be ruining someone’s special day ! And if you believe me, take a peak at the reviews. All bad negative and crappy comments and all of them...read more"
1808,"Pathetic place. Don't know what the hype is all about. I went there to celebrate my friend's birthday and it was a horrible experience. The service is really disappointing. The whole terrace area had one waiter. We had to wait for 15 mins to get the menu, even when there were no other guests sitting on terrace. After calling the waiter 5-6 times, our order was finally taken. The food took ages to come and was not at all good. We had to wait for 20 mins to get even a glass of water. Not at all going to this place ever again."
1809,"Got disappointed from the food they offer ,I had the worst chilly potato and haka noodles here .I only liked the ambience ,service is also very bad ."
1810,"If you are looking for some nice terrace area, this is the place to be!!I really loved the terrace view. And the food was good too. The decor and ambiance of the place is just too good. Visit this place if you wanna have a decent and good time with your friends. "
1811,"Went there with colleagues after office. Drinks selection is all right, not overwhelming not poor. Music playing was some pretty cool. Nice place to stop for a drink if you happen to be nearby."
1812,"Have been here a few times. Has never been too crowded, Plenty of seating all around. Good spot to come to with a big group.The music was good and the service is fine too."
1813,V went there to celebrate my fren’s bday. Ambience is quite good but service is really disappointing.. nobody is there to listen to u. Dey dint give matchbox with the cake. V had to wait for 10 mins. Then I called up a waiter and surprisingly he said I don’t have a matchbox. Very bad experience. They don’t know how to behave with their customers..
1814,"I have given this rating only for the sake of ambience and food...if you talk about service, pathetic service, extremely rude and ignorant staff..."
1815,PATHETIC SERVICE!I literally waited for 15 minutes for someone to come and take my order but no one attended. There wasn’t even much crowd still all the staff was just standing on the counter and not receiving us.Worst experience ever!
1816,A total value for money.. Just loved their Paneer Lababdar & Dahi kebab. Must visit this place if you are looking for some change or for a rooftop lounge.
1817,Good ambience and great music. Hygenic place and well mannered staff is the key. I would recommend the young crowd to try this place atleast once. 
1818,"TOS- Went there for a friend's bachelor party and i must say that the place is really huge.. Also the best part about this place is that it never disappoints when it comes to food, service and ambience.."
1819,"One of the best place to chill in Punjabi Bagh, specially the rooftop area which is amazingly done.. Plus the food and ambience are definitely worth trying.."
1820,"Amazing place to dine in, went there twice but earlier my experience was really bad but next time, to my surprise the food, ambience and service was excellent as compared to my first visit.. Must Visit"
1821,"The place is just awesome. The best part is that it is a rooftop lounge. Food is also good. I have tried hakka noodles, paneer tikka, tandoori chicken, pizza and chilli potatoes. Good place to have gala time with your friends. Overall it was a good experience."
1822,A nice place toh have some fun with friends.With some drinks nd food.The ambience of the place is good.The food and service is good as well.Chilly potato (8/10)Spring roll(8/10)Pizza was quite good (9/10)Booze😂(10/10)Hukka (10/10)❤️❤️❤️❤️❤️❤️ Really enjoyed with booze and dance there.
1823,"Found this as a zomato gold partner and i decided to mark down my first visit to the place.  The outlet is very well conceptualised, i liked the terrace seating more suited for the weather these days. A suggestion sit on the terrace if u want to enjoy slow music and long talks. If u want a more party type ambiance its advisable to sit in the lounge area. First things first, even though it was a zomato Gold outlet, i was denied the gold offer. The place was eligible 2+2 on drinks but they bluntly denied my request to avail the offer. Zomato was quick to help out with the matter but even then the offer was not provided, which soured my experience at this place.For starters we ordered...read more"
1824,"The ambience is good. But the food was a bit disappointing. Caesar salad was good, but chicken was a bit uncooked and moreover the food wasn't worth the cost. The service is fine however."
1825,"The place offers a rooftop seating with sufi music night on Wednesday, a perfect combo for this weather which marks the start of winters 😇Review on the following out of 5:1). Corn & pepper - 4.5Which was really tasty with the perfect crunch and perfect seasoning. ✔2). Murg malai tikka - 3.5Layers of coating could've been more creamy.3). Chilli chicken - 4.54). BBQ wing - 4.5Chicken wings sauted with veggies in a spicy tangy flavour.5). Honey chilli potato -3A nice place to hangout. Service and the staff isn't disappointing too. "
1826,It was an amazing place to visit.Food 4.5/5 Services 4/4Ambience 4/4Music 5/5✔Vibes 5/5Nice place to hangout. Nice experience with this place.
1827,"It was really good experience, especially the Rooftop.Amazing bar collection as we were group of 20-22 people that also spread out age groups because of Alumini association get together. So they had beer to Whiskey all according to our tastes.You can order platters with close eyes it's too good to resist.For side orders their Dahi Kae Sholle(vegie) and Chicken Tikka works."
1828,"TOS is a perfect place to spend with your group of friends.We visited TOS in afternoon. Crowd  was great. Great ambiance,  tasty food,  service was a bit less attentive. Hummus with pita bread was very tasty and innovative as compared to other outlet.. Food -  8Service - 6Value for money - 9Decor - 9.5"
1829,"lisen a lot to good views about this place bt my experence is not good...nobody took an initavtive to entertain you or attend you yourself had to had to go to waiter or a staff there to ask for a table...me n my friend planned to visit here. Firstly, they dnt have everything wjth them in the menu then finally we order a basic french fries n pasta...french fries not warm we told them to fix it they took 30 min for dat..n in pasta garlic bread is not even closer to garlic bread its like they took 2 slices of bread and place a butter or pepper over them n served n we orderd arrabiata pasta..they put whole black pepper in dat this thing ruin the whole taste after that we ordered kiktak shake...read more"
1830,"I’ve been to TOS yesterday for celebrations of my birthday, i had an amazing experience with friends.  I ordered DHAI KE KABAB, WHITE SAUCE PASTA , MANCHURIAN, MARGHERITA PIZZA AND A FEW DRINKS amongst all the pizza was the best  according to me! Plus I would request the management to change the location of washrooms which is in front of kitchen and it doesn’t feels nice to go there. The service , quality and quality was much satisfactory, but needs more improvement in taste. Staff was cooperative. Ambiance- 9(roof is amazing)Food-7Service-7"
1831,"Perfect lounge for your weekend😻Perfect ambience,dance floor, service, food this lounge fir blow your mind to the next extent👍🏻The best terrace sitting."
1832,"I have only been here once, but it was a great experience. I will definitely be a regular patron.Cocktails are interesting and solid. They don't try too hard and pay attention to the balance and flavors really well. Same for the food. Really interesting combinations without overdoing it."
1833,Ambiance - Ambiance was Average !3 / 5Food - 3.5 / 5 Havent tried much the food was Good !Service - 2 / 5 The service was Horrible ! Waited for Half an Hour For my order ! Staff make you feel like unwanted over here ! Overall Rating - 3/5 A good Place to hangout if you have a Low budget! Price is nominal ! the only thing that frustrated me was the Service ! Over all Good Place ! 
1834,The food was cold and i found not so good the service was very poor the manager was not cooperative it was totaly hell experience for me at take of scarlet and i think u should take off if you continue to provide this kind of service.
1835,take off scarlet or TOS is a great place for any party or fun freak person. a remarkable place to have some great food and spend time with your friends and family. they offer you great food in their varified menu.. must go and get some chill there. and enjoy your weekend in a fantanstic way instead of scrolling memes again n again 👌👌
1836,Best place I have ever Visited TOS Every Celebrity Has Visited This Place TOS has gained Such A name in Respect In such Short Time Its Best Place in West n North Delhi Food Is Just Amazing Specially the pizza And Ya should Try Shakes n You should Specially Visit This place At friday And saturday For band And Dhol Night Simply Amzing Best Birthday Celebrated Here❤️❤️❤️
1837,Food was good..but service is very bad..waiters are not at all supportive..we ordered something else and they are serving else on that they are dening that it cannot be replace..very poor..not expected..
1838,Very poor service... Will not recommend to go... Staff is polite but service you have to wait for at least 45 minutes for your order...This type of service is not acceptable in hospitality. Pls improve your service.. 
1839,Place for loud music lovers. We visited here with siblings. Paan kiwi hooks was amazing 😉. Fish was so soft and Afghani chicken 🍗 must try. If u r with kids try to avoid as music 🎧 was unbearable loud.
1840,"I am a regular visitor of this place and I have been to this place a lot in the past but not able to place a review about this place. So, Take Off Scarlet needs a lot of improvement from their kitchen to their staff. The lounge doesn't have a dancing space if all people in the lounge come together to dance, there probably will be a stampede. But this place is a heaven for all the sheesha lovers, as you can try different varieties of sheesha. Kitchen needs a lot of improvement and cleaning, and please shift your washroom because it's just opposite to kitchen and it's annoying. The owner is happy to go lucky person and probably help you out if you have any query and changes to be...read more"
1841,"The service was horrible and waiters were so disinterested and inattentive. They weren't writing down orders and messing up the orders. At one point, we had ordered a hookah, we literally took two puffs and we went to the dance floor. A while later when we came back, the waiter claimed that the flavour got burned out. I am not an expert on hookahs but i haven't ever experienced this happening so i was kind of confused about that. Anyway they had to take that one away. And btw..they charged us the full price for that. Afterwards we asked them to clean up the table THRICE and then someone cared enough to do so.The food was good overall and the ambience wasn't something we could complain...read more"
1842,Best noodles in town and oreo chocolate shake. But Dj is available 3-6 and afterward 9 in the night and rest is fine including ambience. Outdoor is great 
1843,"Kudos to his place! The perfect place to have a party at, great ambience, great food. You'll have the best time dancing with your friends here with nice food and drinks of course! And the best part, it won't hurt your pocket much 😉"
1844,Ambience and food here is the best. Great place to hangout with your gang. If you need to celebrate any occasion this place for you man. Enjoyed everything here and music too ;) 
1845,"Currently sitting here with my fiancee. Ordered  cheese bread and french fries, coke, and Nojito. Service is terrible. Had to ask for tissue paper. Being served with flat coke ( no fizz) ! I returned it and again m being greeted with same damn flat coke. Unhappy with the current experience."
1846,"This place is might is Good and small in size, Roof looks attractive in pictures but dont have anything like in reality. Food was fine we tried veg plater, Chiken malai tikka, pasta all fine, but DAL makhni was yuk and burned. DJ was nit available 5 to 8 pm. But Service was very very very slow. I many time asked for control AC temperature because we were feeling hot inside.Ambience 4/5Service     1/5Food        3/5Temperature 3/5"
1847,Take off scarlet also known as TOS is spread over two floors. One is the indoor seating one on the third floor and the other one is the outdoor open air seating one on the forth floor. The roof top seating has a great ambience to enjoy the food on a good weather day. Totally loved the food they served. The ambience was good and the outlet is capable of giving cut to cut compitition to all the surrounding outlets. They have a very dim light ambience on the third floor. The dj plays good tracks for us to completly enjoy our food and chill.
1848,"A great place sit and chill with your buddies i would say. Not that easier to locate though if you are coming for the first time. It’s opposite Starbucks.About the food- Fresh and tasted great. I visited during the lunch hours for Dineout Eaternship event. Had tasted Veg Manchurian and Honey Chilly Potatoes in particular which tasted a lot better than many cafes in Delhi.Nice ambiance, good to catch up with friends after a long time and talk."
1849,Great ambience and interiors with good quality food and a pretty nice service. A good place with a great ambience. They have appealing interiors and nice seating for a party with friends. The service is pretty good and also the food is tasty and attractive. It's worth visiting. The liquor is a bit expensive though but the food is great. 
1850,Best place and the ambience totally awesome. This was my first time here and noe from onwards it will be countless. I am loving this place 😍
1851,"I went to this place last week with my friends. The place is good and spacious; nice place to hang out with friends. First of all we ordered white sauce pasta, drums of heaven, spring rolls, nachos, honey chilly potato, dahi kebab, hookah and some drinks. Spring rolls were not good as it was oily. Rest of the starters were tasty. We all spent a good time there and then we ordered main course. So we had biryani, paneer lababdar and garlic naan. Overall we enjoyed the dinner."
1852,"Went to this place some days ago, and guess whom did I meet. The one and only Arjun Rampal, promoting for his movie. This place has an awesome food if you are fan of non vegetarian north indian food. Hookah here is super super awesome. It doesnt hit your throat and stays for like alot long period. Food- 5.0Ambience- 4.5Ventilation-4.5Crowd- 4.5"
1853,Great ambience with very much friendly staff.      The food was delicious and tasty. The music and dj was good with good music.  Also there is ample space for siting and dance.  Also it has reasonable rates with good quality
1854,great place for enjoy .... cheap and best place in punjabi bagh🍺 food and drinks worthfull🍺music👌crowd👌it has a great atmosphere.....
1855,"The worst place to be if you want to spoil ur evening you are most welcome to visit the place.Went here Went wq week poor service a beer bucket took. 30 mins to com felt like he had actually got it brewed and bottled fresh and got it for us.... As far as snacks were considered chicken Malai Tikka was half done and upon calling the manager he says u don't know how Tikka are to which I was like ""yes bro visiting restaurants or lounges for the first time in my life"" Poor attitude screwed up service even won't feel like providing 1 rating to them... "
1856,"The lounge has great ambience & a dj is mostly available to play all your favourite music to dance on. Also, a photographer is ready on his toes to click some good photos of you. The food is average & I personally didn't like the drinks. The main course was better than starters & butter chicken was the best among all. So try this place out for good music but not for food."
1857,Nice place . Good option for birthady and paries .One of the best place for hangout with friends ❤️❤️❤️Awesome food and infrastructure Everything was favv ❤️❤️
1858,"My favourite place😍😘Best place for Sheesha lovers😊😘😘 Good service , good Space inside and nearby my home Used 2 to come here on weekly basis😉"
1859,One of the best lounge in Delhi...❤❤❤Love it's honey Chilli😍😍😍😍Beautiful interiors wid good Space insideGr8 experience and must visit here ..😉
1860,"A much required pub and lounge in punjabi bagh area.Great ambience,innovative menu and happening d.j.Loved the courteous service by staff.Its a must visit place in town..."
1861,"loved the ambience good crowd Awesome place to party with family and friends. Spacious sitting with equally spacious dance floor.....,😎😍😍😎"
1862,Awsm for family...must visit..TQ toss family for ur great service ..People who love food ....must visit ....coz no one wants to miss this one 
